# Die konservative Segmentprojektion: Kraft und Flaeche je Segment,
# und der daraus gebildete Segmentdruck.  Diese Groesse konvergiert.
shape,Pi,level,d_mid_m,tau_mid,area_m2,force_N,pressure_Pa
pi+0.00,0.000000000e+00,4,8.773058517e-07,8.245388297e-01,3.442551957e-12,3.086235452e-08,8.964964046e+03
pi+0.00,0.000000000e+00,4,7.484248733e-07,8.503150253e-01,3.335536344e-12,3.203199932e-08,9.603252974e+03
pi+0.00,0.000000000e+00,4,6.273495131e-07,8.745300974e-01,3.222365888e-12,3.343120295e-08,1.037473835e+04
pi+0.00,0.000000000e+00,4,5.136235261e-07,8.972752948e-01,3.105408640e-12,3.519842505e-08,1.133455501e+04
pi+0.00,0.000000000e+00,4,4.067823409e-07,9.186435318e-01,2.987518614e-12,3.757625702e-08,1.257774825e+04
pi+0.00,0.000000000e+00,4,3.064068679e-07,9.387186264e-01,2.867484232e-12,4.096997591e-08,1.428777723e+04
pi+0.00,0.000000000e+00,4,2.121241443e-07,9.575751711e-01,2.747550394e-12,4.638668886e-08,1.688292559e+04
pi+0.00,0.000000000e+00,4,1.235434434e-07,9.752913113e-01,2.629785750e-12,5.730840557e-08,2.179204354e+04
pi+0.00,0.000000000e+00,4,4.031436859e-08,9.919371263e-01,2.512603011e-12,6.635881428e-08,2.641038556e+04
pi+0.50,5.000000000e-01,1,4.805091528e-06,4.917550340e-02,7.759865940e-13,5.892026559e-09,7.592948904e+03
pi+0.50,5.000000000e-01,1,4.258725342e-06,1.572896465e-01,2.973953384e-12,2.283735926e-08,7.679124825e+03
pi+0.50,5.000000000e-01,1,3.602668631e-06,2.871091908e-01,6.524014514e-12,5.106245883e-08,7.826846295e+03
pi+0.50,5.000000000e-01,1,2.875047396e-06,4.310898186e-01,1.009108828e-11,8.136213366e-08,8.062770973e+03
pi+0.50,5.000000000e-01,1,2.194903311e-06,5.656757372e-01,1.112264150e-11,9.362493971e-08,8.417509427e+03
pi+0.50,5.000000000e-01,1,1.623855146e-06,6.786739143e-01,1.116354485e-11,9.964705871e-08,8.926112630e+03
pi+0.50,5.000000000e-01,1,1.145637215e-06,7.733029805e-01,1.063187953e-11,1.026105893e-07,9.651218206e+03
pi+0.50,5.000000000e-01,1,7.448897111e-07,8.526023114e-01,9.823486119e-12,1.056513895e-07,1.075497927e+04
pi+0.50,5.000000000e-01,1,4.091297379e-07,9.190420047e-01,8.844081029e-12,1.128728673e-07,1.276253202e+04
pi+0.50,5.000000000e-01,1,1.281102753e-07,9.746497258e-01,7.849334240e-12,1.170593134e-07,1.491327924e+04
pi+0.50,5.000000000e-01,2,4.880700072e-06,3.421419499e-02,3.756626964e-13,2.873458260e-09,7.649038053e+03
pi+0.50,5.000000000e-01,2,4.511092809e-06,1.073515406e-01,1.340748967e-12,1.031239146e-08,7.691515504e+03
pi+0.50,5.000000000e-01,2,4.090365012e-06,1.906045430e-01,2.710427271e-12,2.101930523e-08,7.754978506e+03
pi+0.50,5.000000000e-01,2,3.610909828e-06,2.854784348e-01,4.626278787e-12,3.635879943e-08,7.859189016e+03
pi+0.50,5.000000000e-01,2,3.081163052e-06,3.903039535e-01,6.787477079e-12,5.441036812e-08,8.016287567e+03
pi+0.50,5.000000000e-01,2,2.561562126e-06,4.931218262e-01,7.660661716e-12,6.308820080e-08,8.235346128e+03
pi+0.50,5.000000000e-01,2,2.100232219e-06,5.844091146e-01,7.988428364e-12,6.809871696e-08,8.524670168e+03
pi+0.50,5.000000000e-01,2,1.693650941e-06,6.648628244e-01,8.006583449e-12,7.120641083e-08,8.893482630e+03
pi+0.50,5.000000000e-01,2,1.335128788e-06,7.358066646e-01,7.804142326e-12,7.309456253e-08,9.366123717e+03
pi+0.50,5.000000000e-01,2,1.019184629e-06,7.983252335e-01,7.450094494e-12,7.440554867e-08,9.987195294e+03
pi+0.50,5.000000000e-01,2,7.408275019e-07,8.534061355e-01,7.012310222e-12,7.603217124e-08,1.084267079e+04
pi+0.50,5.000000000e-01,2,4.955768324e-07,9.019359799e-01,6.521461458e-12,7.907742914e-08,1.212572207e+04
pi+0.50,5.000000000e-01,2,2.795435639e-07,9.446843277e-01,6.012624222e-12,8.703184787e-08,1.447485235e+04
pi+0.50,5.000000000e-01,2,8.918049223e-08,9.823530944e-01,5.506478437e-12,9.430159199e-08,1.712557183e+04
pi+0.50,5.000000000e-01,3,4.940906319e-06,2.230067089e-02,1.596014506e-13,1.227646135e-09,7.691948476e+03
pi+0.50,5.000000000e-01,3,4.705379112e-06,6.890645064e-02,5.374487484e-13,4.145067422e-09,7.712488743e+03
pi+0.50,5.000000000e-01,3,4.448588088e-06,1.197198836e-01,1.018314191e-12,7.878946655e-09,7.737245264e+03
pi+0.50,5.000000000e-01,3,4.168498178e-06,1.751436662e-01,1.624724611e-12,1.262826936e-08,7.772559896e+03
pi+0.50,5.000000000e-01,3,3.862907864e-06,2.356134313e-01,2.384493628e-12,1.865945965e-08,7.825334247e+03
pi+0.50,5.000000000e-01,3,3.529469434e-06,3.015937411e-01,3.328733672e-12,2.630450531e-08,7.902255904e+03
pi+0.50,5.000000000e-01,3,3.170063283e-06,3.727125056e-01,4.382276416e-12,3.508811100e-08,8.006822862e+03
pi+0.50,5.000000000e-01,3,2.810492489e-06,4.438638494e-01,4.898090774e-12,3.987549672e-08,8.141028527e+03
pi+0.50,5.000000000e-01,3,2.476295839e-06,5.099941946e-01,5.169264126e-12,4.293441899e-08,8.305711982e+03
pi+0.50,5.000000000e-01,3,2.169152462e-06,5.707712776e-01,5.312814953e-12,4.516295164e-08,8.500757515e+03
pi+0.50,5.000000000e-01,3,1.886829288e-06,6.266369751e-01,5.359092459e-12,4.678320562e-08,8.729688091e+03
pi+0.50,5.000000000e-01,3,1.627296727e-06,6.779928994e-01,5.325452128e-12,4.792133043e-08,8.998546842e+03
pi+0.50,5.000000000e-01,3,1.388708398e-06,7.252044097e-01,5.234139686e-12,4.876168331e-08,9.316083681e+03
pi+0.50,5.000000000e-01,3,1.169385283e-06,7.686037473e-01,5.094358319e-12,4.939097416e-08,9.695229716e+03
pi+0.50,5.000000000e-01,3,9.677893303e-07,8.084952602e-01,4.923529042e-12,5.000138072e-08,1.015559780e+04
pi+0.50,5.000000000e-01,3,7.824737907e-07,8.451652286e-01,4.727287561e-12,5.071645650e-08,1.072844752e+04
pi+0.50,5.000000000e-01,3,6.121299117e-07,8.788726267e-01,4.516597274e-12,5.179199364e-08,1.146703824e+04
pi+0.50,5.000000000e-01,3,4.555725552e-07,9.098519679e-01,4.293369340e-12,5.354725813e-08,1.247208285e+04
pi+0.50,5.000000000e-01,3,3.117313789e-07,9.383150498e-01,4.065884521e-12,5.678924350e-08,1.396725441e+04
pi+0.50,5.000000000e-01,3,1.795799564e-07,9.644649804e-01,3.837201170e-12,6.397445547e-08,1.667216616e+04
pi+0.50,5.000000000e-01,3,5.815283964e-08,9.884928010e-01,3.612668004e-12,7.101951300e-08,1.965846652e+04
pi+0.50,5.000000000e-01,4,4.972975180e-06,1.595493134e-02,8.169518602e-14,6.307910947e-10,7.721276191e+03
pi+0.50,5.000000000e-01,4,4.806509013e-06,4.889501357e-02,2.665201613e-13,2.061205400e-09,7.733769147e+03
pi+0.50,5.000000000e-01,4,4.629319882e-06,8.395694004e-02,4.870251856e-13,3.772818317e-09,7.746659574e+03
pi+0.50,5.000000000e-01,4,4.440687456e-06,1.212832493e-01,7.491325593e-13,5.815574066e-09,7.763077433e+03
pi+0.50,5.000000000e-01,4,4.239804185e-06,1.610337376e-01,1.059194728e-12,8.246798384e-09,7.785913361e+03
pi+0.50,5.000000000e-01,4,4.025889381e-06,2.033628866e-01,1.423973893e-12,1.113138350e-08,7.817126108e+03
pi+0.50,5.000000000e-01,4,3.798059018e-06,2.484456263e-01,1.852918792e-12,1.456211947e-08,7.859016560e+03
pi+0.50,5.000000000e-01,4,3.555324059e-06,2.964776656e-01,2.355288902e-12,1.864110124e-08,7.914570998e+03
pi+0.50,5.000000000e-01,4,3.296750462e-06,3.476438314e-01,2.940309087e-12,2.348124074e-08,7.985977001e+03
pi+0.50,5.000000000e-01,4,3.030552748e-06,4.003186465e-01,3.371254393e-12,2.721888119e-08,8.073814082e+03
pi+0.50,5.000000000e-01,4,2.772775589e-06,4.513272145e-01,3.573073770e-12,2.922075037e-08,8.178042843e+03
pi+0.50,5.000000000e-01,4,2.530282823e-06,4.993113289e-01,3.717597388e-12,3.084796325e-08,8.297822499e+03
pi+0.50,5.000000000e-01,4,2.302102024e-06,5.444634123e-01,3.812896750e-12,3.215429787e-08,8.433036607e+03
pi+0.50,5.000000000e-01,4,2.087437180e-06,5.869409782e-01,3.863692115e-12,3.317009766e-08,8.585077868e+03
pi+0.50,5.000000000e-01,4,1.885485903e-06,6.269028021e-01,3.881699157e-12,3.398729468e-08,8.755777639e+03
pi+0.50,5.000000000e-01,4,1.695440974e-06,6.645086152e-01,3.869712173e-12,3.462436876e-08,8.947530774e+03
pi+0.50,5.000000000e-01,4,1.516646023e-06,6.998882991e-01,3.831742686e-12,3.511238783e-08,9.163555777e+03
pi+0.50,5.000000000e-01,4,1.348412963e-06,7.331780115e-01,3.776291697e-12,3.552740387e-08,9.408013659e+03
pi+0.50,5.000000000e-01,4,1.190118579e-06,7.645010731e-01,3.701751103e-12,3.585698354e-08,9.686492295e+03
pi+0.50,5.000000000e-01,4,1.041210190e-06,7.939668477e-01,3.615270249e-12,3.617651649e-08,1.000658706e+04
pi+0.50,5.000000000e-01,4,9.011172648e-07,8.216882312e-01,3.518109071e-12,3.651387327e-08,1.037883492e+04
pi+0.50,5.000000000e-01,4,7.693172831e-07,8.477686191e-01,3.413557640e-12,3.692921853e-08,1.081839606e+04
pi+0.50,5.000000000e-01,4,6.453274499e-07,8.723035463e-01,3.302257251e-12,3.747375993e-08,1.134792267e+04
pi+0.50,5.000000000e-01,4,5.287069098e-07,8.953802486e-01,3.186617665e-12,3.824994902e-08,1.200330665e+04
pi+0.50,5.000000000e-01,4,4.190036552e-07,9.170881684e-01,3.069566530e-12,3.943010731e-08,1.284549689e+04
pi+0.50,5.000000000e-01,4,3.158098407e-07,9.375080098e-01,2.949866368e-12,4.126863140e-08,1.399000031e+04
pi+0.50,5.000000000e-01,4,2.187626496e-07,9.567115663e-01,2.829835228e-12,4.441257721e-08,1.569440396e+04
pi+0.50,5.000000000e-01,4,1.274787575e-07,9.747746896e-01,2.711623519e-12,5.100466465e-08,1.880964090e+04
pi+0.50,5.000000000e-01,4,4.161426422e-08,9.917654301e-01,2.593617457e-12,5.787500061e-08,2.231439353e+04
pi-0.50,-5.000000000e-01,1,4.805091528e-06,4.917550340e-02,7.759865940e-13,2.552384962e-09,3.289212703e+03
pi-0.50,-5.000000000e-01,1,4.258725342e-06,1.572896465e-01,2.973953384e-12,1.002340804e-08,3.370398506e+03
pi-0.50,-5.000000000e-01,1,3.602668631e-06,2.871091908e-01,6.524014514e-12,2.325459899e-08,3.564461566e+03
pi-0.50,-5.000000000e-01,1,2.875047396e-06,4.310898186e-01,1.009108828e-11,3.942978248e-08,3.907386537e+03
pi-0.50,-5.000000000e-01,1,2.194903311e-06,5.656757372e-01,1.112264150e-11,4.952501345e-08,4.452630559e+03
