# Knoten des beweglichen Netzes in einem Fenster um die Austrittskante.
shape,i,j,r_m,z_m
pi+1.50,24,130,8.141888572e-06,-2.161953475e-06
pi+1.50,25,130,8.550758147e-06,-2.161953475e-06
pi+1.50,26,130,8.912680041e-06,-2.161953475e-06
pi+1.50,27,130,9.233213491e-06,-2.161953475e-06
pi+1.50,28,130,9.516693943e-06,-2.161953475e-06
pi+1.50,29,130,9.767611357e-06,-2.161953475e-06
pi+1.50,30,130,9.989697974e-06,-2.161953475e-06
pi+1.50,31,130,1.018626379e-05,-2.161953475e-06
pi+1.50,32,130,1.036032558e-05,-2.161953475e-06
pi+1.50,33,130,1.052522634e-05,-2.161953475e-06
pi+1.50,34,130,1.071171458e-05,-2.161953475e-06
pi+1.50,35,130,1.092303135e-05,-2.161953475e-06
pi+1.50,36,130,1.116213792e-05,-2.161953475e-06
pi+1.50,37,130,1.143283023e-05,-2.161953475e-06
pi+1.50,38,130,1.173945948e-05,-2.161953475e-06
pi+1.50,0,131,0.000000000e+00,5.128026851e-09
pi+1.50,1,131,3.457928304e-07,-1.887863292e-09
pi+1.50,2,131,7.390462315e-07,-2.699689692e-08
pi+1.50,3,131,1.186568459e-06,-7.809146925e-08
pi+1.50,4,131,1.696085312e-06,-1.663696733e-07
pi+1.50,5,131,2.242036574e-06,-2.984566302e-07
pi+1.50,6,131,2.728788634e-06,-4.514882218e-07
pi+1.50,7,131,3.156170042e-06,-6.159680110e-07
pi+1.50,8,131,3.531869760e-06,-7.863960319e-07
pi+1.50,9,131,3.862049691e-06,-9.585265383e-07
pi+1.50,10,131,4.151961149e-06,-1.129081457e-06
pi+1.50,11,131,4.406719149e-06,-1.295901241e-06
pi+1.50,12,131,4.630479836e-06,-1.457243135e-06
pi+1.50,13,131,4.827106181e-06,-1.612000725e-06
pi+1.50,14,131,5.000000000e-06,-1.759464036e-06
pi+1.50,15,131,5.171883497e-06,-1.759464036e-06
pi+1.50,16,131,5.365989401e-06,-1.759464036e-06
pi+1.50,17,131,5.585296725e-06,-1.759464036e-06
pi+1.50,18,131,5.833074043e-06,-1.759464036e-06
pi+1.50,19,131,6.113006891e-06,-1.759464036e-06
pi+1.50,20,131,6.429529038e-06,-1.759464036e-06
pi+1.50,21,131,6.786921675e-06,-1.759464036e-06
pi+1.50,22,131,7.190674469e-06,-1.759464036e-06
pi+1.50,23,131,7.646622003e-06,-1.759464036e-06
pi+1.50,24,131,8.102569537e-06,-1.759464036e-06
pi+1.50,25,131,8.506322331e-06,-1.759464036e-06
pi+1.50,26,131,8.863714968e-06,-1.759464036e-06
pi+1.50,27,131,9.180237115e-06,-1.759464036e-06
pi+1.50,28,131,9.460169963e-06,-1.759464036e-06
pi+1.50,29,131,9.707947281e-06,-1.759464036e-06
pi+1.50,30,131,9.927254605e-06,-1.759464036e-06
pi+1.50,31,131,1.012136051e-05,-1.759464036e-06
pi+1.50,32,131,1.029324401e-05,-1.759464036e-06
pi+1.50,33,131,1.045820310e-05,-1.759464036e-06
pi+1.50,34,131,1.064475730e-05,-1.759464036e-06
pi+1.50,35,131,1.085614882e-05,-1.759464036e-06
pi+1.50,36,131,1.109533997e-05,-1.759464036e-06
pi+1.50,37,131,1.136612804e-05,-1.759464036e-06
pi+1.50,38,131,1.167286575e-05,-1.759464036e-06
pi+1.50,0,132,0.000000000e+00,4.594754159e-07
pi+1.50,1,132,3.457928304e-07,4.520644651e-07
pi+1.50,2,132,7.390462315e-07,4.255415566e-07
pi+1.50,3,132,1.186568459e-06,3.715698790e-07
pi+1.50,4,132,1.696085312e-06,2.783207814e-07
pi+1.50,5,132,2.242036574e-06,1.387960858e-07
pi+1.50,6,132,2.728788634e-06,-2.285262450e-08
pi+1.50,7,132,3.156170042e-06,-1.965941736e-07
pi+1.50,8,132,3.531869760e-06,-3.766188960e-07
pi+1.50,9,132,3.862049691e-06,-5.584419697e-07
pi+1.50,10,132,4.151961149e-06,-7.386007354e-07
pi+1.50,11,132,4.406719149e-06,-9.148140433e-07
pi+1.50,12,132,4.630479836e-06,-1.085241004e-06
pi+1.50,13,132,4.827106181e-06,-1.248712902e-06
pi+1.50,14,132,5.000000000e-06,-1.404479785e-06
pi+1.50,15,132,5.169962308e-06,-1.404479785e-06
pi+1.50,16,132,5.361898637e-06,-1.404479785e-06
pi+1.50,17,132,5.578754703e-06,-1.404479785e-06
pi+1.50,18,132,5.823762545e-06,-1.404479785e-06
pi+1.50,19,132,6.100566507e-06,-1.404479785e-06
pi+1.50,20,132,6.413550800e-06,-1.404479785e-06
pi+1.50,21,132,6.766948761e-06,-1.404479785e-06
pi+1.50,22,132,7.166188699e-06,-1.404479785e-06
pi+1.50,23,132,7.617039982e-06,-1.404479785e-06
pi+1.50,24,132,8.067891266e-06,-1.404479785e-06
pi+1.50,25,132,8.467131203e-06,-1.404479785e-06
pi+1.50,26,132,8.820529165e-06,-1.404479785e-06
pi+1.50,27,132,9.133513457e-06,-1.404479785e-06
pi+1.50,28,132,9.410317419e-06,-1.404479785e-06
pi+1.50,29,132,9.655325262e-06,-1.404479785e-06
pi+1.50,30,132,9.872181327e-06,-1.404479785e-06
pi+1.50,31,132,1.006411766e-05,-1.404479785e-06
pi+1.50,32,132,1.023407996e-05,-1.404479785e-06
pi+1.50,33,132,1.039909051e-05,-1.404479785e-06
pi+1.50,34,132,1.058570289e-05,-1.404479785e-06
pi+1.50,35,132,1.079716033e-05,-1.404479785e-06
pi+1.50,36,132,1.103642608e-05,-1.404479785e-06
pi+1.50,37,132,1.130729860e-05,-1.404479785e-06
pi+1.50,38,132,1.161413197e-05,-1.404479785e-06
pi+1.50,0,133,0.000000000e+00,8.600416676e-07
pi+1.50,1,133,3.457928304e-07,8.522824195e-07
pi+1.50,2,133,7.390462315e-07,8.245129966e-07
pi+1.50,3,133,1.186568459e-06,7.680047770e-07
pi+1.50,4,133,1.696085312e-06,6.703731908e-07
pi+1.50,5,133,2.242036574e-06,5.242911623e-07
pi+1.50,6,133,2.728788634e-06,3.550453423e-07
pi+1.50,7,133,3.156170042e-06,1.731383485e-07
pi+1.50,8,133,3.531869760e-06,-1.534711285e-08
pi+1.50,9,133,3.862049691e-06,-2.057154439e-07
pi+1.50,10,133,4.151961149e-06,-3.943412484e-07
pi+1.50,11,133,4.406719149e-06,-5.788361679e-07
pi+1.50,12,133,4.630479836e-06,-7.572727948e-07
pi+1.50,13,133,4.827106181e-06,-9.284274890e-07
pi+1.50,14,133,5.000000000e-06,-1.091515049e-06
pi+1.50,15,133,5.168268530e-06,-1.091515049e-06
pi+1.50,16,133,5.358292097e-06,-1.091515049e-06
pi+1.50,17,133,5.572987060e-06,-1.091515049e-06
pi+1.50,18,133,5.815553251e-06,-1.091515049e-06
pi+1.50,19,133,6.089598693e-06,-1.091515049e-06
pi+1.50,20,133,6.399463906e-06,-1.091515049e-06
pi+1.50,21,133,6.749340042e-06,-1.091515049e-06
pi+1.50,22,133,7.144601311e-06,-1.091515049e-06
pi+1.50,23,133,7.590959587e-06,-1.091515049e-06
pi+1.50,24,133,8.037317864e-06,-1.091515049e-06
pi+1.50,25,133,8.432579133e-06,-1.091515049e-06
pi+1.50,26,133,8.782455268e-06,-1.091515049e-06
pi+1.50,27,133,9.092320482e-06,-1.091515049e-06
pi+1.50,28,133,9.366365924e-06,-1.091515049e-06
pi+1.50,29,133,9.608932115e-06,-1.091515049e-06
pi+1.50,30,133,9.823627077e-06,-1.091515049e-06
pi+1.50,31,133,1.001365064e-05,-1.091515049e-06
pi+1.50,32,133,1.018191917e-05,-1.091515049e-06
pi+1.50,33,133,1.034697507e-05,-1.091515049e-06
pi+1.50,34,133,1.053363875e-05,-1.091515049e-06
pi+1.50,35,133,1.074515432e-05,-1.091515049e-06
pi+1.50,36,133,1.098448583e-05,-1.091515049e-06
pi+1.50,37,133,1.125543280e-05,-1.091515049e-06
pi+1.50,38,133,1.156235052e-05,-1.091515049e-06
pi+1.50,0,134,0.000000000e+00,1.213668595e-06
pi+1.50,1,134,3.457928304e-07,1.205601864e-06
pi+1.50,2,134,7.390462315e-07,1.176731996e-06
pi+1.50,3,134,1.186568459e-06,1.117984473e-06
pi+1.50,4,134,1.696085312e-06,1.016483949e-06
pi+1.50,5,134,2.242036574e-06,8.646129913e-07
pi+1.50,6,134,2.728788634e-06,6.886603094e-07
pi+1.50,7,134,3.156170042e-06,4.995447176e-07
pi+1.50,8,134,3.531869760e-06,3.035899670e-07
pi+1.50,9,134,3.862049691e-06,1.056777326e-07
pi+1.50,10,134,4.151961149e-06,-9.042292256e-08
pi+1.50,11,134,4.406719149e-06,-2.822289942e-07
pi+1.50,12,134,4.630479836e-06,-4.677366958e-07
pi+1.50,13,134,4.827106181e-06,-6.456738966e-07
pi+1.50,14,134,5.000000000e-06,-8.152242800e-07
pi+1.50,15,134,5.166773233e-06,-8.152242800e-07
pi+1.50,16,134,5.355108181e-06,-8.152242800e-07
pi+1.50,17,134,5.567895284e-06,-8.152242800e-07
pi+1.50,18,134,5.808305941e-06,-8.152242800e-07
pi+1.50,19,134,6.079916113e-06,-8.152242800e-07
pi+1.50,20,134,6.387027750e-06,-8.152242800e-07
pi+1.50,21,134,6.733794756e-06,-8.152242800e-07
pi+1.50,22,134,7.125543586e-06,-8.152242800e-07
pi+1.50,23,134,7.567935357e-06,-8.152242800e-07
pi+1.50,24,134,8.010327127e-06,-8.152242800e-07
pi+1.50,25,134,8.402075957e-06,-8.152242800e-07
pi+1.50,26,134,8.748842964e-06,-8.152242800e-07
pi+1.50,27,134,9.055954600e-06,-8.152242800e-07
pi+1.50,28,134,9.327564772e-06,-8.152242800e-07
pi+1.50,29,134,9.567975429e-06,-8.152242800e-07
pi+1.50,30,134,9.780762533e-06,-8.152242800e-07
pi+1.50,31,134,9.969097480e-06,-8.152242800e-07
pi+1.50,32,134,1.013587071e-05,-8.152242800e-07
pi+1.50,33,134,1.030096665e-05,-8.152242800e-07
pi+1.50,34,134,1.048767561e-05,-8.152242800e-07
pi+1.50,35,134,1.069924249e-05,-8.152242800e-07
pi+1.50,36,134,1.093863207e-05,-8.152242800e-07
pi+1.50,37,134,1.120964477e-05,-8.152242800e-07
pi+1.50,38,134,1.151663694e-05,-8.152242800e-07
pi+1.50,0,135,0.000000000e+00,1.525472655e-06
pi+1.50,1,135,3.457928304e-07,1.517134807e-06
pi+1.50,2,135,7.390462315e-07,1.487294642e-06
pi+1.50,3,135,1.186568459e-06,1.426572654e-06
pi+1.50,4,135,1.696085312e-06,1.321660764e-06
pi+1.50,5,135,2.242036574e-06,1.164685525e-06
pi+1.50,6,135,2.728788634e-06,9.828191908e-07
pi+1.50,7,135,3.156170042e-06,7.873475497e-07
pi+1.50,8,135,3.531869760e-06,5.848068904e-07
pi+1.50,9,135,3.862049691e-06,3.802429575e-07
pi+1.50,10,135,4.151961149e-06,1.775514898e-07
pi+1.50,11,135,4.406719149e-06,-2.070105630e-08
pi+1.50,12,135,4.630479836e-06,-2.124435483e-07
pi+1.50,13,135,4.827106181e-06,-3.963611000e-07
pi+1.50,14,135,5.000000000e-06,-5.716099589e-07
pi+1.50,15,135,5.165454783e-06,-5.716099589e-07
pi+1.50,16,135,5.352300820e-06,-5.716099589e-07
pi+1.50,17,135,5.563405704e-06,-5.716099589e-07
pi+1.50,18,135,5.801915759e-06,-5.716099589e-07
pi+1.50,19,135,6.071378676e-06,-5.716099589e-07
pi+1.50,20,135,6.376062396e-06,-5.716099589e-07
pi+1.50,21,135,6.720087985e-06,-5.716099589e-07
pi+1.50,22,135,7.108739786e-06,-5.716099589e-07
pi+1.50,23,135,7.547634163e-06,-5.716099589e-07
pi+1.50,24,135,7.986528540e-06,-5.716099589e-07
pi+1.50,25,135,8.375180342e-06,-5.716099589e-07
pi+1.50,26,135,8.719205930e-06,-5.716099589e-07
pi+1.50,27,135,9.023889650e-06,-5.716099589e-07
pi+1.50,28,135,9.293352568e-06,-5.716099589e-07
pi+1.50,29,135,9.531862623e-06,-5.716099589e-07
pi+1.50,30,135,9.742967506e-06,-5.716099589e-07
pi+1.50,31,135,9.929813544e-06,-5.716099589e-07
pi+1.50,32,135,1.009526833e-05,-5.716099589e-07
pi+1.50,33,135,1.026039957e-05,-5.716099589e-07
pi+1.50,34,135,1.044714846e-05,-5.716099589e-07
pi+1.50,35,135,1.065876058e-05,-5.716099589e-07
pi+1.50,36,135,1.089820135e-05,-5.716099589e-07
pi+1.50,37,135,1.116927201e-05,-5.716099589e-07
pi+1.50,38,135,1.147632983e-05,-5.716099589e-07
pi+1.50,0,136,0.000000000e+00,1.800504945e-06
pi+1.50,1,136,3.457928304e-07,1.791927952e-06
pi+1.50,2,136,7.390462315e-07,1.761231920e-06
pi+1.50,3,136,1.186568459e-06,1.698768319e-06
pi+1.50,4,136,1.696085312e-06,1.590847375e-06
pi+1.50,5,136,2.242036574e-06,1.429369814e-06
pi+1.50,6,136,2.728788634e-06,1.242287238e-06
pi+1.50,7,136,3.156170042e-06,1.041209131e-06
pi+1.50,8,136,3.531869760e-06,8.328592542e-07
pi+1.50,9,136,3.862049691e-06,6.224280728e-07
pi+1.50,10,136,4.151961149e-06,4.139230623e-07
pi+1.50,11,136,4.406719149e-06,2.099842894e-07
pi+1.50,12,136,4.630479836e-06,1.274229019e-08
pi+1.50,13,136,4.827106181e-06,-1.764503359e-07
pi+1.50,14,136,5.000000000e-06,-3.567256360e-07
pi+1.50,15,136,5.164291820e-06,-3.567256360e-07
pi+1.50,16,136,5.349824538e-06,-3.567256360e-07
pi+1.50,17,136,5.559445590e-06,-3.567256360e-07
pi+1.50,18,136,5.796279185e-06,-3.567256360e-07
pi+1.50,19,136,6.063848079e-06,-3.567256360e-07
pi+1.50,20,136,6.366390212e-06,-3.567256360e-07
pi+1.50,21,136,6.707997684e-06,-3.567256360e-07
pi+1.50,22,136,7.093917697e-06,-3.567256360e-07
pi+1.50,23,136,7.529727136e-06,-3.567256360e-07
pi+1.50,24,136,7.965536575e-06,-3.567256360e-07
pi+1.50,25,136,8.351456588e-06,-3.567256360e-07
pi+1.50,26,136,8.693064060e-06,-3.567256360e-07
pi+1.50,27,136,8.995606194e-06,-3.567256360e-07
pi+1.50,28,136,9.263175087e-06,-3.567256360e-07
pi+1.50,29,136,9.500008683e-06,-3.567256360e-07
pi+1.50,30,136,9.709629734e-06,-3.567256360e-07
pi+1.50,31,136,9.895162452e-06,-3.567256360e-07
pi+1.50,32,136,1.005945427e-05,-3.567256360e-07
pi+1.50,33,136,1.022461666e-05,-3.567256360e-07
pi+1.50,34,136,1.041140077e-05,-3.567256360e-07
pi+1.50,35,136,1.062305280e-05,-3.567256360e-07
pi+1.50,36,136,1.086253872e-05,-3.567256360e-07
pi+1.50,37,136,1.113366050e-05,-3.567256360e-07
pi+1.50,38,136,1.144077623e-05,-3.567256360e-07
pi+1.50,0,137,0.000000000e+00,2.043042594e-06
pi+1.50,1,137,3.457928304e-07,2.034254712e-06
pi+1.50,2,137,7.390462315e-07,2.002803931e-06
pi+1.50,3,137,1.186568459e-06,1.938804487e-06
pi+1.50,4,137,1.696085312e-06,1.828230003e-06
pi+1.50,5,137,2.242036574e-06,1.662782062e-06
pi+1.50,6,137,2.728788634e-06,1.471099535e-06
pi+1.50,7,137,3.156170042e-06,1.265077358e-06
pi+1.50,8,137,3.531869760e-06,1.051604614e-06
pi+1.50,9,137,3.862049691e-06,8.359993907e-07
pi+1.50,10,137,4.151961149e-06,6.223676985e-07
pi+1.50,11,137,4.406719149e-06,4.134145176e-07
pi+1.50,12,137,4.630479836e-06,2.113227695e-07
pi+1.50,13,137,4.827106181e-06,1.747831094e-08
pi+1.50,14,137,5.000000000e-06,-1.672295642e-07
pi+1.50,15,137,5.163266260e-06,-1.672295642e-07
pi+1.50,16,137,5.347640825e-06,-1.672295642e-07
pi+1.50,17,137,5.555953357e-06,-1.672295642e-07
pi+1.50,18,137,5.791308564e-06,-1.672295642e-07
pi+1.50,19,137,6.057207210e-06,-1.672295642e-07
pi+1.50,20,137,6.357860782e-06,-1.672295642e-07
pi+1.50,21,137,6.697335835e-06,-1.672295642e-07
pi+1.50,22,137,7.080846815e-06,-1.672295642e-07
pi+1.50,23,137,7.513935797e-06,-1.672295642e-07
pi+1.50,24,137,7.947024779e-06,-1.672295642e-07
pi+1.50,25,137,8.330535759e-06,-1.672295642e-07
pi+1.50,26,137,8.670010812e-06,-1.672295642e-07
pi+1.50,27,137,8.970664384e-06,-1.672295642e-07
pi+1.50,28,137,9.236563030e-06,-1.672295642e-07
pi+1.50,29,137,9.471918237e-06,-1.672295642e-07
pi+1.50,30,137,9.680230769e-06,-1.672295642e-07
pi+1.50,31,137,9.864605334e-06,-1.672295642e-07
pi+1.50,32,137,1.002787159e-05,-1.672295642e-07
pi+1.50,33,137,1.019306144e-05,-1.672295642e-07
pi+1.50,34,137,1.037987661e-05,-1.672295642e-07
pi+1.50,35,137,1.059156383e-05,-1.672295642e-07
pi+1.50,36,137,1.083108958e-05,-1.672295642e-07
pi+1.50,37,137,1.110225644e-05,-1.672295642e-07
pi+1.50,38,137,1.140942323e-05,-1.672295642e-07
pi+1.50,0,138,0.000000000e+00,2.257081148e-06
pi+1.50,1,138,3.457928304e-07,2.248107157e-06
pi+1.50,2,138,7.390462315e-07,2.215990314e-06
pi+1.50,3,138,1.186568459e-06,2.150635494e-06
pi+1.50,4,138,1.696085312e-06,2.037719272e-06
pi+1.50,5,138,2.242036574e-06,1.868767486e-06
pi+1.50,6,138,2.728788634e-06,1.673025519e-06
pi+1.50,7,138,3.156170042e-06,1.462640219e-06
pi+1.50,8,138,3.531869760e-06,1.244646564e-06
pi+1.50,9,138,3.862049691e-06,1.024475268e-06
pi+1.50,10,138,4.151961149e-06,8.063192987e-07
pi+1.50,11,138,4.406719149e-06,5.929409218e-07
pi+1.50,12,138,4.630479836e-06,3.865692887e-07
pi+1.50,13,138,4.827106181e-06,1.886196057e-07
pi+1.50,14,138,5.000000000e-06,0.000000000e+00
pi+1.50,15,138,5.162361207e-06,0.000000000e+00
pi+1.50,16,138,5.345713707e-06,0.000000000e+00
pi+1.50,17,138,5.552871476e-06,0.000000000e+00
pi+1.50,18,138,5.786922010e-06,0.000000000e+00
pi+1.50,19,138,6.051346669e-06,0.000000000e+00
pi+1.50,20,138,6.350333592e-06,0.000000000e+00
pi+1.50,21,138,6.687926793e-06,0.000000000e+00
pi+1.50,22,138,7.069311812e-06,0.000000000e+00
pi+1.50,23,138,7.500000000e-06,0.000000000e+00
pi+1.50,24,138,7.930688188e-06,0.000000000e+00
pi+1.50,25,138,8.312073207e-06,0.000000000e+00
pi+1.50,26,138,8.649666408e-06,0.000000000e+00
pi+1.50,27,138,8.948653331e-06,0.000000000e+00
pi+1.50,28,138,9.213077990e-06,0.000000000e+00
pi+1.50,29,138,9.447128524e-06,0.000000000e+00
pi+1.50,30,138,9.654286293e-06,0.000000000e+00
pi+1.50,31,138,9.837638793e-06,0.000000000e+00
pi+1.50,32,138,1.000000000e-05,0.000000000e+00
pi+1.50,33,138,1.016521408e-05,0.000000000e+00
pi+1.50,34,138,1.035205666e-05,0.000000000e+00
pi+1.50,35,138,1.056377494e-05,0.000000000e+00
pi+1.50,36,138,1.080333583e-05,0.000000000e+00
pi+1.50,37,138,1.107454247e-05,0.000000000e+00
pi+1.50,38,138,1.138175433e-05,0.000000000e+00
pi+1.50,0,139,0.000000000e+00,2.375110364e-06
pi+1.50,1,139,3.457928304e-07,2.366324889e-06
pi+1.50,2,139,7.390462315e-07,2.334882719e-06
pi+1.50,3,139,1.186568459e-06,2.270900799e-06
pi+1.50,4,139,1.696085312e-06,2.160356591e-06
pi+1.50,5,139,2.242036574e-06,1.994953950e-06
pi+1.50,6,139,2.728788634e-06,1.803323907e-06
pi+1.50,7,139,3.156170042e-06,1.597358140e-06
pi+1.50,8,139,3.531869760e-06,1.383943846e-06
pi+1.50,9,139,3.862049691e-06,1.168397656e-06
pi+1.50,10,139,4.151961149e-06,9.548244575e-07
pi+1.50,11,139,4.406719149e-06,7.459284891e-07
pi+1.50,12,139,4.630479836e-06,5.438920748e-07
pi+1.50,13,139,4.827106181e-06,3.501006919e-07
pi+1.50,14,139,5.000000000e-06,1.654433908e-07
pi+1.50,15,139,5.162361207e-06,1.654433908e-07
pi+1.50,16,139,5.345713707e-06,1.654433908e-07
pi+1.50,17,139,5.552871476e-06,1.654433908e-07
pi+1.50,18,139,5.786922010e-06,1.654433908e-07
pi+1.50,19,139,6.051346669e-06,1.654433908e-07
pi+1.50,20,139,6.350333592e-06,1.654433908e-07
pi+1.50,21,139,6.687926793e-06,1.654433908e-07
pi+1.50,22,139,7.069311812e-06,1.654433908e-07
pi+1.50,23,139,7.500000000e-06,1.654433908e-07
pi+1.50,24,139,7.930688188e-06,1.654433908e-07
pi+1.50,25,139,8.312073207e-06,1.654433908e-07
pi+1.50,26,139,8.649666408e-06,1.654433908e-07
pi+1.50,27,139,8.948653331e-06,1.654433908e-07
pi+1.50,28,139,9.213077990e-06,1.654433908e-07
pi+1.50,29,139,9.447128524e-06,1.654433908e-07
pi+1.50,30,139,9.654286293e-06,1.654433908e-07
pi+1.50,31,139,9.837638793e-06,1.654433908e-07
pi+1.50,32,139,1.000000000e-05,1.654433908e-07
pi+1.50,33,139,1.016521408e-05,1.654433908e-07
pi+1.50,34,139,1.035205666e-05,1.654433908e-07
pi+1.50,35,139,1.056377494e-05,1.654433908e-07
pi+1.50,36,139,1.080333583e-05,1.654433908e-07
pi+1.50,37,139,1.107454247e-05,1.654433908e-07
pi+1.50,38,139,1.138175433e-05,1.654433908e-07
pi+1.50,0,140,0.000000000e+00,2.508681879e-06
pi+1.50,1,140,3.457928304e-07,2.500109742e-06
pi+1.50,2,140,7.390462315e-07,2.469431089e-06
pi+1.50,3,140,1.186568459e-06,2.407002854e-06
pi+1.50,4,140,1.696085312e-06,2.299143011e-06
pi+1.50,5,140,2.242036574e-06,2.137756874e-06
pi+1.50,6,140,2.728788634e-06,1.950780219e-06
pi+1.50,7,140,3.156170042e-06,1.749815957e-06
pi+1.50,8,140,3.531869760e-06,1.541584043e-06
pi+1.50,9,140,3.862049691e-06,1.331272002e-06
pi+1.50,10,140,4.151961149e-06,1.122885041e-06
pi+1.50,11,140,4.406719149e-06,9.190617327e-07
pi+1.50,12,140,4.630479836e-06,7.219314065e-07
pi+1.50,13,140,4.827106181e-06,5.328458962e-07
pi+1.50,14,140,5.000000000e-06,3.526726630e-07
pi+1.50,15,140,5.162361207e-06,3.526726630e-07
pi+1.50,16,140,5.345713707e-06,3.526726630e-07
pi+1.50,17,140,5.552871476e-06,3.526726630e-07
pi+1.50,18,140,5.786922010e-06,3.526726630e-07
pi+1.50,19,140,6.051346669e-06,3.526726630e-07
pi+1.50,20,140,6.350333592e-06,3.526726630e-07
pi+1.50,21,140,6.687926793e-06,3.526726630e-07
pi+1.50,22,140,7.069311812e-06,3.526726630e-07
pi+1.50,23,140,7.500000000e-06,3.526726630e-07
pi+1.50,24,140,7.930688188e-06,3.526726630e-07
pi+1.50,25,140,8.312073207e-06,3.526726630e-07
pi+1.50,26,140,8.649666408e-06,3.526726630e-07
pi+1.50,27,140,8.948653331e-06,3.526726630e-07
pi+1.50,28,140,9.213077990e-06,3.526726630e-07
pi+1.50,29,140,9.447128524e-06,3.526726630e-07
pi+1.50,30,140,9.654286293e-06,3.526726630e-07
pi+1.50,31,140,9.837638793e-06,3.526726630e-07
pi+1.50,32,140,1.000000000e-05,3.526726630e-07
pi+1.50,33,140,1.016521408e-05,3.526726630e-07
pi+1.50,34,140,1.035205666e-05,3.526726630e-07
pi+1.50,35,140,1.056377494e-05,3.526726630e-07
pi+1.50,36,140,1.080333583e-05,3.526726630e-07
pi+1.50,37,140,1.107454247e-05,3.526726630e-07
pi+1.50,38,140,1.138175433e-05,3.526726630e-07
pi+1.50,0,141,0.000000000e+00,2.659923429e-06
pi+1.50,1,141,3.457928304e-07,2.651592854e-06
pi+1.50,2,141,7.390462315e-07,2.621778722e-06
pi+1.50,3,141,1.186568459e-06,2.561109707e-06
pi+1.50,4,141,1.696085312e-06,2.456289342e-06
pi+1.50,5,141,2.242036574e-06,2.299451047e-06
pi+1.50,6,141,2.728788634e-06,2.117743372e-06
pi+1.50,7,141,3.156170042e-06,1.922442260e-06
pi+1.50,8,141,3.531869760e-06,1.720078296e-06
pi+1.50,9,141,3.862049691e-06,1.515692824e-06
pi+1.50,10,141,4.151961149e-06,1.313178183e-06
pi+1.50,11,141,4.406719149e-06,1.115098592e-06
pi+1.50,12,141,4.630479836e-06,9.235233751e-07
pi+1.50,13,141,4.827106181e-06,7.397662722e-07
pi+1.50,14,141,5.000000000e-06,5.646702996e-07
pi+1.50,15,141,5.162361207e-06,5.646702996e-07
pi+1.50,16,141,5.345713707e-06,5.646702996e-07
pi+1.50,17,141,5.552871476e-06,5.646702996e-07
pi+1.50,18,141,5.786922010e-06,5.646702996e-07
pi+1.50,19,141,6.051346669e-06,5.646702996e-07
pi+1.50,20,141,6.350333592e-06,5.646702996e-07
pi+1.50,21,141,6.687926793e-06,5.646702996e-07
pi+1.50,22,141,7.069311812e-06,5.646702996e-07
pi+1.50,23,141,7.500000000e-06,5.646702996e-07
pi+1.50,24,141,7.930688188e-06,5.646702996e-07
pi+1.50,25,141,8.312073207e-06,5.646702996e-07
pi+1.50,26,141,8.649666408e-06,5.646702996e-07
pi+1.50,27,141,8.948653331e-06,5.646702996e-07
pi+1.50,28,141,9.213077990e-06,5.646702996e-07
pi+1.50,29,141,9.447128524e-06,5.646702996e-07
pi+1.50,30,141,9.654286293e-06,5.646702996e-07
pi+1.50,31,141,9.837638793e-06,5.646702996e-07
pi+1.50,32,141,1.000000000e-05,5.646702996e-07
pi+1.50,33,141,1.016521408e-05,5.646702996e-07
pi+1.50,34,141,1.035205666e-05,5.646702996e-07
pi+1.50,35,141,1.056377494e-05,5.646702996e-07
pi+1.50,36,141,1.080333583e-05,5.646702996e-07
pi+1.50,37,141,1.107454247e-05,5.646702996e-07
pi+1.50,38,141,1.138175433e-05,5.646702996e-07
pi+1.50,0,142,0.000000000e+00,2.831231418e-06
pi+1.50,1,142,3.457928304e-07,2.823174455e-06
pi+1.50,2,142,7.390462315e-07,2.794339547e-06
pi+1.50,3,142,1.186568459e-06,2.735663162e-06
pi+1.50,4,142,1.696085312e-06,2.634285547e-06
pi+1.50,5,142,2.242036574e-06,2.482598494e-06
pi+1.50,6,142,2.728788634e-06,2.306858877e-06
pi+1.50,7,142,3.156170042e-06,2.117972290e-06
pi+1.50,8,142,3.531869760e-06,1.922254825e-06
pi+1.50,9,142,3.862049691e-06,1.724582248e-06
pi+1.50,10,142,4.151961149e-06,1.528719055e-06
pi+1.50,11,142,4.406719149e-06,1.337145246e-06
pi+1.50,12,142,4.630479836e-06,1.151862180e-06
pi+1.50,13,142,4.827106181e-06,9.741404476e-07
pi+1.50,14,142,5.000000000e-06,8.047953768e-07
pi+1.50,15,142,5.162361207e-06,8.047953768e-07
pi+1.50,16,142,5.345713707e-06,8.047953768e-07
pi+1.50,17,142,5.552871476e-06,8.047953768e-07
pi+1.50,18,142,5.786922010e-06,8.047953768e-07
pi+1.50,19,142,6.051346669e-06,8.047953768e-07
pi+1.50,20,142,6.350333592e-06,8.047953768e-07
pi+1.50,21,142,6.687926793e-06,8.047953768e-07
pi+1.50,22,142,7.069311812e-06,8.047953768e-07
pi+1.50,23,142,7.500000000e-06,8.047953768e-07
pi+1.50,24,142,7.930688188e-06,8.047953768e-07
pi+1.50,25,142,8.312073207e-06,8.047953768e-07
pi+1.50,26,142,8.649666408e-06,8.047953768e-07
pi+1.50,27,142,8.948653331e-06,8.047953768e-07
pi+1.50,28,142,9.213077990e-06,8.047953768e-07
