# Knoten des beweglichen Netzes in einem Fenster um die Austrittskante.
shape,i,j,r_m,z_m
pi+0.00,0,112,0.000000000e+00,-3.142684392e-05
pi+0.00,1,112,3.457928304e-07,-3.142684392e-05
pi+0.00,2,112,7.390462315e-07,-3.142684392e-05
pi+0.00,3,112,1.186568459e-06,-3.142684392e-05
pi+0.00,4,112,1.696085312e-06,-3.142684392e-05
pi+0.00,5,112,2.242036574e-06,-3.142684392e-05
pi+0.00,6,112,2.728788634e-06,-3.142684392e-05
pi+0.00,7,112,3.156170042e-06,-3.142684392e-05
pi+0.00,8,112,3.531869760e-06,-3.142684392e-05
pi+0.00,9,112,3.862049691e-06,-3.142684392e-05
pi+0.00,10,112,4.151961149e-06,-3.142684392e-05
pi+0.00,11,112,4.406719149e-06,-3.142684392e-05
pi+0.00,12,112,4.630479836e-06,-3.142684392e-05
pi+0.00,13,112,4.827106181e-06,-3.142684392e-05
pi+0.00,14,112,5.000000000e-06,-3.142684392e-05
pi+0.00,15,112,5.332444550e-06,-3.142684392e-05
pi+0.00,16,112,5.707870064e-06,-3.142684392e-05
pi+0.00,17,112,6.132038328e-06,-3.142684392e-05
pi+0.00,18,112,6.611271183e-06,-3.142684392e-05
pi+0.00,19,112,7.152696924e-06,-3.142684392e-05
pi+0.00,20,112,7.764891026e-06,-3.142684392e-05
pi+0.00,21,112,8.456133855e-06,-3.142684392e-05
pi+0.00,22,112,9.237043123e-06,-3.142684392e-05
pi+0.00,23,112,1.011890366e-05,-3.142684392e-05
pi+0.00,24,112,1.100076420e-05,-3.142684392e-05
pi+0.00,25,112,1.178167347e-05,-3.142684392e-05
pi+0.00,26,112,1.247291629e-05,-3.142684392e-05
pi+0.00,27,112,1.308511040e-05,-3.142684392e-05
pi+0.00,28,112,1.362653614e-05,-3.142684392e-05
pi+0.00,29,112,1.410576899e-05,-3.142684392e-05
pi+0.00,30,112,1.452993726e-05,-3.142684392e-05
pi+0.00,31,112,1.490536277e-05,-3.142684392e-05
pi+0.00,32,112,1.523780732e-05,-3.142684392e-05
pi+0.00,33,112,1.539846688e-05,-3.142684392e-05
pi+0.00,34,112,1.558015869e-05,-3.142684392e-05
pi+0.00,35,112,1.578604045e-05,-3.142684392e-05
pi+0.00,36,112,1.601899726e-05,-3.142684392e-05
pi+0.00,37,112,1.628272744e-05,-3.142684392e-05
pi+0.00,38,112,1.658147027e-05,-3.142684392e-05
pi+0.00,0,113,0.000000000e+00,-2.756990844e-05
pi+0.00,1,113,3.457928304e-07,-2.756990844e-05
pi+0.00,2,113,7.390462315e-07,-2.756990844e-05
pi+0.00,3,113,1.186568459e-06,-2.756990844e-05
pi+0.00,4,113,1.696085312e-06,-2.756990844e-05
pi+0.00,5,113,2.242036574e-06,-2.756990844e-05
pi+0.00,6,113,2.728788634e-06,-2.756990844e-05
pi+0.00,7,113,3.156170042e-06,-2.756990844e-05
pi+0.00,8,113,3.531869760e-06,-2.756990844e-05
pi+0.00,9,113,3.862049691e-06,-2.756990844e-05
pi+0.00,10,113,4.151961149e-06,-2.756990844e-05
pi+0.00,11,113,4.406719149e-06,-2.756990844e-05
pi+0.00,12,113,4.630479836e-06,-2.756990844e-05
pi+0.00,13,113,4.827106181e-06,-2.756990844e-05
pi+0.00,14,113,5.000000000e-06,-2.756990844e-05
pi+0.00,15,113,5.311570660e-06,-2.756990844e-05
pi+0.00,16,113,5.663423548e-06,-2.756990844e-05
pi+0.00,17,113,6.060958674e-06,-2.756990844e-05
pi+0.00,18,113,6.510100936e-06,-2.756990844e-05
pi+0.00,19,113,7.017531049e-06,-2.756990844e-05
pi+0.00,20,113,7.591286041e-06,-2.756990844e-05
pi+0.00,21,113,8.239126363e-06,-2.756990844e-05
pi+0.00,22,113,8.971003051e-06,-2.756990844e-05
pi+0.00,23,113,9.797492370e-06,-2.756990844e-05
pi+0.00,24,113,1.062398169e-05,-2.756990844e-05
pi+0.00,25,113,1.135585838e-05,-2.756990844e-05
pi+0.00,26,113,1.200369870e-05,-2.756990844e-05
pi+0.00,27,113,1.257745369e-05,-2.756990844e-05
pi+0.00,28,113,1.308488380e-05,-2.756990844e-05
pi+0.00,29,113,1.353402607e-05,-2.756990844e-05
pi+0.00,30,113,1.393156119e-05,-2.756990844e-05
pi+0.00,31,113,1.428341408e-05,-2.756990844e-05
pi+0.00,32,113,1.459498474e-05,-2.756990844e-05
pi+0.00,33,113,1.475620327e-05,-2.756990844e-05
pi+0.00,34,113,1.493852721e-05,-2.756990844e-05
pi+0.00,35,113,1.514512527e-05,-2.756990844e-05
pi+0.00,36,113,1.537889259e-05,-2.756990844e-05
pi+0.00,37,113,1.564354033e-05,-2.756990844e-05
pi+0.00,38,113,1.594332254e-05,-2.756990844e-05
pi+0.00,0,114,0.000000000e+00,-2.417096443e-05
pi+0.00,1,114,3.457928304e-07,-2.417096443e-05
pi+0.00,2,114,7.390462315e-07,-2.417096443e-05
pi+0.00,3,114,1.186568459e-06,-2.417096443e-05
pi+0.00,4,114,1.696085312e-06,-2.417096443e-05
pi+0.00,5,114,2.242036574e-06,-2.417096443e-05
pi+0.00,6,114,2.728788634e-06,-2.417096443e-05
pi+0.00,7,114,3.156170042e-06,-2.417096443e-05
pi+0.00,8,114,3.531869760e-06,-2.417096443e-05
pi+0.00,9,114,3.862049691e-06,-2.417096443e-05
pi+0.00,10,114,4.151961149e-06,-2.417096443e-05
pi+0.00,11,114,4.406719149e-06,-2.417096443e-05
pi+0.00,12,114,4.630479836e-06,-2.417096443e-05
pi+0.00,13,114,4.827106181e-06,-2.417096443e-05
pi+0.00,14,114,5.000000000e-06,-2.417096443e-05
pi+0.00,15,114,5.293175439e-06,-2.417096443e-05
pi+0.00,16,114,5.624254831e-06,-2.417096443e-05
pi+0.00,17,114,5.998319368e-06,-2.417096443e-05
pi+0.00,18,114,6.420944141e-06,-2.417096443e-05
pi+0.00,19,114,6.898415433e-06,-2.417096443e-05
pi+0.00,20,114,7.438295766e-06,-2.417096443e-05
pi+0.00,21,114,8.047887408e-06,-2.417096443e-05
pi+0.00,22,114,8.736553885e-06,-2.417096443e-05
