# Einseitiges Normalfeld und Maxwell-Druck auf der Oberflaeche, je
# Netzstufe.  d ist der Abstand zur Kontaktlinie entlang der Oberflaeche.
# Die Werte bei kleinem d sind PUNKTWEISE und konvergieren nicht.
shape,Pi,level,d_m,r_m,z_m,tau,En_V_per_m,pM_Pa,tangential_fraction
pi+0.00,0.000000000e+00,3,2.271172633e-06,2.728827367e-06,0.000000000e+00,5.457654735e-01,3.720717474e+07,6.128753047e+03,4.445352721e-03
pi+0.00,0.000000000e+00,3,1.980055798e-06,3.019944202e-06,0.000000000e+00,6.039888404e-01,3.812922771e+07,6.436277376e+03,5.397408215e-03
pi+0.00,0.000000000e+00,3,1.712968531e-06,3.287031469e-06,0.000000000e+00,6.574062938e-01,3.918186999e+07,6.796558397e+03,6.521944712e-03
pi+0.00,0.000000000e+00,3,1.468016797e-06,3.531983203e-06,0.000000000e+00,7.063966407e-01,4.038429789e+07,7.220109892e+03,7.881258555e-03
pi+0.00,0.000000000e+00,3,1.243260776e-06,3.756739224e-06,0.000000000e+00,7.513478447e-01,4.176430204e+07,7.721989203e+03,9.565317455e-03
pi+0.00,0.000000000e+00,3,1.037148902e-06,3.962851098e-06,0.000000000e+00,7.925702195e-01,4.336529637e+07,8.325366704e+03,1.171444012e-02
pi+0.00,0.000000000e+00,3,8.480357813e-07,4.151964219e-06,0.000000000e+00,8.303928437e-01,4.525237949e+07,9.065704840e+03,1.455480839e-02
pi+0.00,0.000000000e+00,3,6.745674781e-07,4.325432522e-06,0.000000000e+00,8.650865044e-01,4.753217271e+07,1.000216621e+04,1.848405034e-02
pi+0.00,0.000000000e+00,3,5.153886763e-07,4.484611324e-06,0.000000000e+00,8.969222647e-01,5.038580775e+07,1.123919444e+04,2.425710787e-02
pi+0.00,0.000000000e+00,3,3.694057410e-07,4.630594259e-06,0.000000000e+00,9.261188518e-01,5.416257276e+07,1.298725313e+04,3.351926003e-02
