# Einseitiges Normalfeld und Maxwell-Druck auf der Oberflaeche, je
# Netzstufe.  d ist der Abstand zur Kontaktlinie entlang der Oberflaeche.
# Die Werte bei kleinem d sind PUNKTWEISE und konvergieren nicht.
shape,Pi,level,d_m,r_m,z_m,tau,En_V_per_m,pM_Pa,tangential_fraction
pi-1.50,-1.500000000e+00,1,2.365898510e-06,3.156179642e-06,-1.462635059e-06,5.815344356e-01,1.856997604e+07,1.526656815e+03,1.877918639e-02
pi-1.50,-1.500000000e+00,1,1.768320113e-06,3.669170811e-06,-1.156528926e-06,6.872304240e-01,2.166885021e+07,2.078693554e+03,2.644715648e-02
pi-1.50,-1.500000000e+00,1,1.242071881e-06,4.096662813e-06,-8.498629547e-07,7.803099717e-01,2.631117574e+07,3.064779577e+03,3.792932249e-02
pi-1.50,-1.500000000e+00,1,7.761918371e-07,4.453905606e-06,-5.509758711e-07,8.627119660e-01,3.420773485e+07,5.180448596e+03,6.375317098e-02
pi-1.50,-1.500000000e+00,1,3.645605633e-07,4.751512004e-06,-2.666927152e-07,9.355187717e-01,5.543484982e+07,1.360455951e+04,1.749918445e-01
pi-1.50,-1.500000000e+00,1,1.016439537e-20,5.000000000e-06,0.000000000e+00,1.000000000e+00,4.606418156e+07,9.393889620e+03,7.317339763e-01
pi-1.50,-1.500000000e+00,2,5.653747193e-06,0.000000000e+00,-2.257081148e-06,0.000000000e+00,1.358143420e+07,8.166011776e+02,2.869319386e-02
pi-1.50,-1.500000000e+00,2,5.307799122e-06,3.457928304e-07,-2.248107157e-06,6.118916521e-02,1.358643118e+07,8.172021884e+02,1.714990751e-02
pi-1.50,-1.500000000e+00,2,4.913178807e-06,7.390462315e-07,-2.215990314e-06,1.309871774e-01,1.372231592e+07,8.336304340e+02,1.084466957e-02
pi-1.50,-1.500000000e+00,2,4.460822870e-06,1.186568459e-06,-2.150635494e-06,2.109971108e-01,1.405026522e+07,8.739523995e+02,8.729929231e-03
pi-1.50,-1.500000000e+00,2,3.938810709e-06,1.696085312e-06,-2.037719272e-06,3.033274084e-01,1.463407324e+07,9.480891633e+02,4.778426761e-03
pi-1.50,-1.500000000e+00,2,3.367139744e-06,2.242036574e-06,-1.868767486e-06,4.044410497e-01,1.549794341e+07,1.063327084e+03,5.798992216e-03
pi-1.50,-1.500000000e+00,2,2.842368698e-06,2.728788634e-06,-1.673025519e-06,4.972593218e-01,1.672630611e+07,1.238565035e+03,9.736666267e-03
pi-1.50,-1.500000000e+00,2,2.365909409e-06,3.156170042e-06,-1.462640219e-06,5.815325080e-01,1.832698434e+07,1.486965019e+03,1.278899698e-02
pi-1.50,-1.500000000e+00,2,1.931469201e-06,3.531869760e-06,-1.244646564e-06,6.583736175e-01,2.038679684e+07,1.839995345e+03,1.618885757e-02
pi-1.50,-1.500000000e+00,2,1.534555210e-06,3.862049691e-06,-1.024475268e-06,7.285773209e-01,2.307626679e+07,2.357489878e+03,2.049654150e-02
pi-1.50,-1.500000000e+00,2,1.171687209e-06,4.151961149e-06,-8.063192987e-07,7.927591791e-01,2.671609643e+07,3.159837427e+03,2.665263764e-02
pi-1.50,-1.500000000e+00,2,8.393397348e-07,4.406719149e-06,-5.929409218e-07,8.515427545e-01,3.198128311e+07,4.528042580e+03,3.711676853e-02
pi-1.50,-1.500000000e+00,2,5.349153629e-07,4.630479836e-06,-3.865692887e-07,9.053874635e-01,4.076957915e+07,7.358532141e+03,6.081653432e-02
pi-1.50,-1.500000000e+00,2,2.558860424e-07,4.827106181e-06,-1.886196057e-07,9.547404520e-01,6.469172946e+07,1.852747592e+04,1.700576559e-01
pi-1.50,-1.500000000e+00,2,1.016439537e-20,5.000000000e-06,0.000000000e+00,1.000000000e+00,5.495148584e+07,1.336834404e+04,7.016422129e-01
pi-1.50,-1.500000000e+00,3,5.653747193e-06,0.000000000e+00,-2.257081148e-06,0.000000000e+00,1.342576491e+07,7.979888274e+02,1.892854149e-02
pi-1.50,-1.500000000e+00,3,5.428311435e-06,2.253927972e-07,-2.253269915e-06,3.987368917e-02,1.341317864e+07,7.964933452e+02,1.051338232e-02
pi-1.50,-1.500000000e+00,3,5.182343594e-06,4.710108625e-07,-2.240421490e-06,8.337896673e-02,1.345573687e+07,8.015556983e+02,5.991513560e-03
pi-1.50,-1.500000000e+00,3,4.913415012e-06,7.388114821e-07,-2.216016495e-06,1.309453989e-01,1.356493892e+07,8.146187831e+02,4.336941917e-03
pi-1.50,-1.500000000e+00,3,4.618818008e-06,1.030777353e-06,-2.176911464e-06,1.830519035e-01,1.374976734e+07,8.369691167e+02,3.376214074e-03
pi-1.50,-1.500000000e+00,3,4.295229591e-06,1.349134956e-06,-2.119141717e-06,2.402862306e-01,1.403446626e+07,8.719880550e+02,2.672172342e-03
pi-1.50,-1.500000000e+00,3,3.938824927e-06,1.696071563e-06,-2.037722889e-06,3.033248938e-01,1.445038450e+07,9.244374701e+02,1.370796519e-03
pi-1.50,-1.500000000e+00,3,3.553914260e-06,2.065284294e-06,-1.929108766e-06,3.714055230e-01,1.500131519e+07,9.962708110e+02,3.399503432e-03
pi-1.50,-1.500000000e+00,3,3.186434477e-06,2.411371865e-06,-1.805696468e-06,4.364030849e-01,1.571137824e+07,1.092816647e+03,5.441857536e-03
pi-1.50,-1.500000000e+00,3,2.842326245e-06,2.728827367e-06,-1.673008142e-06,4.972668306e-01,1.656904079e+07,1.215383870e+03,6.790164082e-03
pi-1.50,-1.500000000e+00,3,2.519626124e-06,3.019944202e-06,-1.533846273e-06,5.543440416e-01,1.758409887e+07,1.368859796e+03,8.099107470e-03
pi-1.50,-1.500000000e+00,3,2.216430838e-06,3.287031469e-06,-1.390403151e-06,6.079713573e-01,1.878061736e+07,1.561487324e+03,9.497043509e-03
pi-1.50,-1.500000000e+00,3,1.931335444e-06,3.531983203e-06,-1.244575701e-06,6.583972756e-01,2.019500895e+07,1.805538835e+03,1.103552771e-02
pi-1.50,-1.500000000e+00,3,1.662883355e-06,3.756739224e-06,-1.097805411e-06,7.058794285e-01,2.187892706e+07,2.119194290e+03,1.286184181e-02
pi-1.50,-1.500000000e+00,3,1.410055637e-06,3.962851098e-06,-9.514083841e-07,7.505980389e-01,2.391136543e+07,2.531205978e+03,1.509177323e-02
pi-1.50,-1.500000000e+00,3,1.171683286e-06,4.151964219e-06,-8.063168552e-07,7.927598730e-01,2.641320318e+07,3.088594391e+03,1.801619748e-02
pi-1.50,-1.500000000e+00,3,9.469073989e-07,4.325432522e-06,-6.633897370e-07,8.325168483e-01,2.958774853e+07,3.875632348e+03,2.208000815e-02
pi-1.50,-1.500000000e+00,3,7.348097987e-07,4.484611324e-06,-5.232337282e-07,8.700313662e-01,3.380222026e+07,5.058353644e+03,2.829556117e-02
pi-1.50,-1.500000000e+00,3,5.347563127e-07,4.630594259e-06,-3.864588155e-07,9.054155953e-01,3.983740006e+07,7.025879681e+03,3.918987655e-02
pi-1.50,-1.500000000e+00,3,3.460259596e-07,4.764494569e-06,-2.534645509e-07,9.387970583e-01,4.991350253e+07,1.102947465e+04,6.498162944e-02
pi-1.50,-1.500000000e+00,3,1.679986595e-07,4.887303601e-06,-1.245856244e-07,9.702854313e-01,7.657792385e+07,2.596126855e+04,1.734954537e-01
pi-1.50,-1.500000000e+00,3,1.016439537e-20,5.000000000e-06,0.000000000e+00,1.000000000e+00,6.273856861e+07,1.742560824e+04,7.040556133e-01
pi-1.50,-1.500000000e+00,4,5.653747193e-06,0.000000000e+00,-2.257081148e-06,0.000000000e+00,1.331847837e+07,7.852861785e+02,1.358549009e-02
pi-1.50,-1.500000000e+00,4,5.492473366e-06,1.612580976e-07,-2.255130550e-06,2.852512173e-02,1.330293580e+07,7.834544016e+02,7.278820756e-03
pi-1.50,-1.500000000e+00,4,5.320691710e-06,3.329169590e-07,-2.248763432e-06,5.890880370e-02,1.331855553e+07,7.852952777e+02,3.958625652e-03
pi-1.50,-1.500000000e+00,4,5.137650871e-06,5.155809832e-07,-2.237114467e-06,9.128394055e-02,1.336718455e+07,7.910403235e+02,2.788570880e-03
pi-1.50,-1.500000000e+00,4,4.942349911e-06,7.100479442e-07,-2.219160695e-06,1.258275720e-01,1.344721549e+07,8.005407854e+02,2.118486238e-03
pi-1.50,-1.500000000e+00,4,4.733746924e-06,9.170829662e-07,-2.193701790e-06,1.627239843e-01,1.356409536e+07,8.145174681e+02,1.637473654e-03
pi-1.50,-1.500000000e+00,4,4.510742801e-06,1.137412785e-06,-2.159336509e-06,2.021675807e-01,1.372604209e+07,8.340832253e+02,1.262738399e-03
pi-1.50,-1.500000000e+00,4,4.271886211e-06,1.371987023e-06,-2.114377698e-06,2.444150641e-01,1.394430332e+07,8.608200544e+02,9.308285715e-04
pi-1.50,-1.500000000e+00,4,4.015597436e-06,1.621714335e-06,-2.056826706e-06,2.897458448e-01,1.423421166e+07,8.969858112e+02,6.154487427e-04
pi-1.50,-1.500000000e+00,4,3.740179153e-06,1.887399846e-06,-1.984330830e-06,3.384601354e-01,1.460108295e+07,9.438193367e+02,1.214098379e-03
pi-1.50,-1.500000000e+00,4,3.462801152e-06,2.151719438e-06,-1.900291493e-06,3.875210488e-01,1.504817300e+07,1.002504394e+03,3.062378373e-03
pi-1.50,-1.500000000e+00,4,3.198660637e-06,2.399969461e-06,-1.810108287e-06,4.342405969e-01,1.557497371e+07,1.073923581e+03,3.724326977e-03
pi-1.50,-1.500000000e+00,4,2.946762271e-06,2.633210151e-06,-1.715008243e-06,4.787948293e-01,1.617445232e+07,1.158184911e+03,4.355538783e-03
pi-1.50,-1.500000000e+00,4,2.706289214e-06,2.852369348e-06,-1.616062459e-06,5.213282233e-01,1.685192137e+07,1.257238241e+03,4.992708651e-03
pi-1.50,-1.500000000e+00,4,2.476685942e-06,3.058163099e-06,-1.514271578e-06,5.619390366e-01,1.761527007e+07,1.373717232e+03,5.620810621e-03
pi-1.50,-1.500000000e+00,4,2.257162009e-06,3.251534291e-06,-1.410377471e-06,6.007670786e-01,1.847432456e+07,1.510970107e+03,6.296045410e-03
pi-1.50,-1.500000000e+00,4,2.047175277e-06,3.433208401e-06,-1.305090721e-06,6.379082392e-01,1.944239427e+07,1.673471136e+03,7.029305501e-03
pi-1.50,-1.500000000e+00,4,1.846283674e-06,3.603828280e-06,-1.199056579e-06,6.734407092e-01,2.053713085e+07,1.867231969e+03,7.824547448e-03
pi-1.50,-1.500000000e+00,4,1.653873856e-06,3.764178616e-06,-1.092723432e-06,7.074729734e-01,2.178076103e+07,2.100220216e+03,8.748800583e-03
pi-1.50,-1.500000000e+00,4,1.469650210e-06,3.914770482e-06,-9.866183807e-07,7.400573177e-01,2.320452439e+07,2.383768502e+03,9.807400015e-03
pi-1.50,-1.500000000e+00,4,1.293151981e-06,4.056244984e-06,-8.810969587e-07,7.712752380e-01,2.484983605e+07,2.733794024e+03,1.107806611e-02
pi-1.50,-1.500000000e+00,4,1.124027111e-06,4.189143312e-06,-7.765038321e-07,8.011890039e-01,2.677633338e+07,3.174102503e+03,1.263826812e-02
pi-1.50,-1.500000000e+00,4,9.619079859e-07,4.314006941e-06,-6.731094909e-07,8.298636368e-01,2.907066569e+07,3.741353013e+03,1.463265955e-02
pi-1.50,-1.500000000e+00,4,8.065184688e-07,4.431294033e-06,-5.711852692e-07,8.573479780e-01,3.186714496e+07,4.495779950e+03,1.728617980e-02
pi-1.50,-1.500000000e+00,4,6.575722307e-07,4.541458915e-06,-4.709467648e-07,8.836926717e-01,3.538811045e+07,5.544130984e+03,2.103048143e-02
pi-1.50,-1.500000000e+00,4,5.147355820e-07,4.644976403e-06,-3.725310274e-07,9.089567389e-01,4.003681696e+07,7.096395623e+03,2.679503268e-02
pi-1.50,-1.500000000e+00,4,3.778086593e-07,4.742209861e-06,-2.761257487e-07,9.331755301e-01,4.666786578e+07,9.641722203e+03,3.692191789e-02
pi-1.50,-1.500000000e+00,4,2.465484766e-07,4.833541850e-06,-1.818540843e-07,9.563920232e-01,5.770176632e+07,1.473998187e+04,6.062648877e-02
pi-1.50,-1.500000000e+00,4,1.206675476e-07,4.919371263e-06,-8.977341622e-08,9.786570670e-01,8.766533616e+07,3.402315151e+04,1.673682446e-01
pi-1.50,-1.500000000e+00,4,1.016439537e-20,5.000000000e-06,0.000000000e+00,1.000000000e+00,7.213412165e+07,2.303563721e+04,6.905477472e-01
pi+1.90,1.900000000e+00,1,6.595978408e-06,0.000000000e+00,3.619737369e-06,0.000000000e+00,6.822217988e+07,2.060487189e+04,4.980382938e-02
pi+1.90,1.900000000e+00,1,6.098260917e-06,4.969759916e-07,3.596221245e-06,7.545771979e-02,6.865349505e+07,2.086623225e+04,3.444624708e-02
pi+1.90,1.900000000e+00,1,5.495794914e-06,1.092188789e-06,3.505167113e-06,1.667961029e-01,6.825907204e+07,2.062716269e+04,2.683920899e-02
pi+1.90,1.900000000e+00,1,4.751798130e-06,1.806674374e-06,3.299934482e-06,2.795916183e-01,6.717869116e+07,1.997937097e+04,1.278373186e-02
pi+1.90,1.900000000e+00,1,3.944099972e-06,2.541087974e-06,2.965668639e-06,4.020447419e-01,6.555283938e+07,1.902399615e+04,9.156021390e-03
pi+1.90,1.900000000e+00,1,3.211274008e-06,3.156179642e-06,2.568391565e-06,5.131466767e-01,6.325238072e+07,1.771219916e+04,1.550583937e-02
pi+1.90,1.900000000e+00,1,2.535957683e-06,3.669170811e-06,2.129909116e-06,6.155297173e-01,6.037187327e+07,1.613570843e+04,2.008103010e-02
pi+1.90,1.900000000e+00,1,1.900932082e-06,4.096662813e-06,1.660847142e-06,7.118043808e-01,5.690585175e+07,1.433615179e+04,2.390131726e-02
pi+1.90,1.900000000e+00,1,1.286020100e-06,4.453905606e-06,1.160782726e-06,8.050296680e-01,5.269341567e+07,1.229225147e+04,2.790563510e-02
pi+1.90,1.900000000e+00,1,6.685741972e-07,4.751512004e-06,6.201970874e-07,8.986391168e-01,4.721485667e+07,9.869066732e+03,3.183006158e-02
pi+1.90,1.900000000e+00,1,2.456395547e-20,5.000000000e-06,0.000000000e+00,1.000000000e+00,4.062913225e+07,7.307920731e+03,8.234762857e-02
pi+1.90,1.900000000e+00,2,6.595978408e-06,0.000000000e+00,3.619737369e-06,0.000000000e+00,6.928269110e+07,2.125045488e+04,3.481945274e-02
pi+1.90,1.900000000e+00,2,6.249936320e-06,3.457928304e-07,3.608365679e-06,5.246258657e-02,6.969516792e+07,2.150423868e+04,2.193529068e-02
pi+1.90,1.900000000e+00,2,5.854481688e-06,7.390462315e-07,3.567591055e-06,1.124164868e-01,6.962154007e+07,2.145882737e+04,1.494932529e-02
pi+1.90,1.900000000e+00,2,5.399121263e-06,1.186568459e-06,3.484238425e-06,1.814525565e-01,6.914036246e+07,2.116323420e+04,1.327318039e-02
pi+1.90,1.900000000e+00,2,4.869073782e-06,1.696085312e-06,3.338960997e-06,2.618117463e-01,6.831235095e+07,2.065937589e+04,9.353430282e-03
pi+1.90,1.900000000e+00,2,4.279912705e-06,2.242036574e-06,3.118312670e-06,3.511330025e-01,6.718134850e+07,1.998095162e+04,3.342797380e-03
pi+1.90,1.900000000e+00,2,3.727238838e-06,2.728788634e-06,2.857084292e-06,4.349225229e-01,6.567656195e+07,1.909587462e+04,7.325764898e-03
pi+1.90,1.900000000e+00,2,3.211286004e-06,3.156170042e-06,2.568398759e-06,5.131448580e-01,6.385638674e+07,1.805208690e+04,9.764935718e-03
pi+1.90,1.900000000e+00,2,2.724235329e-06,3.531869760e-06,2.258723375e-06,5.869854083e-01,6.175582574e+07,1.688397111e+04,1.197147125e-02
pi+1.90,1.900000000e+00,2,2.259751587e-06,3.862049691e-06,1.932247693e-06,6.574046415e-01,5.936334045e+07,1.560110633e+04,1.407214025e-02
pi+1.90,1.900000000e+00,2,1.811913312e-06,4.151961149e-06,1.591088655e-06,7.253002967e-01,5.664034763e+07,1.420268826e+04,1.604729978e-02
pi+1.90,1.900000000e+00,2,1.373434564e-06,4.406719149e-06,1.234366361e-06,7.917769769e-01,5.351388298e+07,1.267802674e+04,1.807926495e-02
pi+1.90,1.900000000e+00,2,9.358588794e-07,4.630479836e-06,8.584762574e-07,8.581167461e-01,4.983153213e+07,1.099327810e+04,2.015003487e-02
pi+1.90,1.900000000e+00,2,4.861364716e-07,4.827106181e-06,4.541678379e-07,9.262980499e-01,4.528248464e+07,9.077771174e+03,2.233546833e-02
pi+1.90,1.900000000e+00,2,2.456395547e-20,5.000000000e-06,0.000000000e+00,1.000000000e+00,4.044221368e+07,7.240833702e+03,5.550414339e-02
pi+1.90,1.900000000e+00,3,6.595978408e-06,0.000000000e+00,3.619737369e-06,0.000000000e+00,7.000341276e+07,2.169487540e+04,2.287103552e-02
pi+1.90,1.900000000e+00,3,6.370516661e-06,2.253927972e-07,3.614908972e-06,3.418169880e-02,7.031479663e+07,2.188830765e+04,1.322129889e-02
pi+1.90,1.900000000e+00,3,6.124336561e-06,4.710108625e-07,3.598619134e-06,7.150445585e-02,7.035488518e+07,2.191327311e+04,8.045162242e-03
pi+1.90,1.900000000e+00,3,5.854718786e-06,7.388114821e-07,3.567624342e-06,1.123805410e-01,7.020478872e+07,2.181987245e+04,6.374743454e-03
pi+1.90,1.900000000e+00,3,5.558495181e-06,1.030777353e-06,3.517812764e-06,1.572902703e-01,6.992646592e+07,2.164720816e+04,5.576888706e-03
pi+1.90,1.900000000e+00,3,5.231613874e-06,1.349134956e-06,3.443883858e-06,2.068479382e-01,6.949625061e+07,2.138166316e+04,5.153304325e-03
pi+1.90,1.900000000e+00,3,4.869088307e-06,1.696071563e-06,3.338965677e-06,2.618095443e-01,6.889011785e+07,2.101031625e+04,4.021102717e-03
pi+1.90,1.900000000e+00,3,4.473642676e-06,2.065284294e-06,3.197595050e-06,3.217620800e-01,6.812904475e+07,2.054865183e+04,1.652376443e-03
pi+1.90,1.900000000e+00,3,4.091111129e-06,2.411371865e-06,3.034839488e-06,3.797567433e-01,6.719009891e+07,1.998615702e+04,3.795310424e-03
pi+1.90,1.900000000e+00,3,3.727193540e-06,2.728827367e-06,2.857060807e-06,4.349293903e-01,6.610271610e+07,1.934449263e+04,4.975172198e-03
pi+1.90,1.900000000e+00,3,3.379529774e-06,3.019944202e-06,2.667120976e-06,4.876378356e-01,6.488679538e+07,1.863937672e+04,6.010001343e-03
pi+1.90,1.900000000e+00,3,3.045782346e-06,3.287031469e-06,2.467084935e-06,5.382364590e-01,6.354662565e+07,1.787737388e+04,7.008184036e-03
pi+1.90,1.900000000e+00,3,2.724082317e-06,3.531983203e-06,2.258620693e-06,5.870086061e-01,6.208007660e+07,1.706173619e+04,7.947999235e-03
pi+1.90,1.900000000e+00,3,2.412392796e-06,3.756739224e-06,2.042734847e-06,6.342630847e-01,6.048191569e+07,1.619458455e+04,8.904150833e-03
pi+1.90,1.900000000e+00,3,2.109026776e-06,3.962851098e-06,1.820196399e-06,6.802556580e-01,5.874079970e+07,1.527560584e+04,9.827065163e-03
pi+1.90,1.900000000e+00,3,1.811908317e-06,4.151964219e-06,1.591084715e-06,7.253010539e-01,5.684107888e+07,1.430353422e+04,1.077952152e-02
pi+1.90,1.900000000e+00,3,1.519033806e-06,4.325432522e-06,1.355156557e-06,7.697030354e-01,5.475760644e+07,1.327417828e+04,1.172891399e-02
pi+1.90,1.900000000e+00,3,1.227877840e-06,4.484611324e-06,1.111410195e-06,8.138444724e-01,5.245457113e+07,1.218106934e+04,1.272999218e-02
pi+1.90,1.900000000e+00,3,9.356181611e-07,4.630594259e-06,8.582644730e-07,8.581532408e-01,4.987377300e+07,1.101192343e+04,1.375276172e-02
pi+1.90,1.900000000e+00,3,6.382042251e-07,4.764494569e-06,5.927419300e-07,9.032434333e-01,4.691927274e+07,9.745884897e+03,1.485165958e-02
pi+1.90,1.900000000e+00,3,3.297209330e-07,4.887303601e-06,3.098061718e-07,9.500118235e-01,4.347793989e+07,8.368673991e+03,1.585813787e-02
pi+1.90,1.900000000e+00,3,2.456395547e-20,5.000000000e-06,0.000000000e+00,1.000000000e+00,4.005452139e+07,7.102673115e+03,3.467048499e-02
pi+1.90,1.900000000e+00,4,6.595978408e-06,0.000000000e+00,3.619737369e-06,0.000000000e+00,7.039002041e+07,2.193516555e+04,1.644623912e-02
pi+1.90,1.900000000e+00,4,6.434695069e-06,1.612580976e-07,3.617266392e-06,2.445176871e-02,7.062627058e+07,2.208265473e+04,9.060846687e-03
pi+1.90,1.900000000e+00,4,6.262839043e-06,3.329169590e-07,3.609197614e-06,5.050643658e-02,7.068341948e+07,2.211840658e+04,5.159325351e-03
pi+1.90,1.900000000e+00,4,6.079569237e-06,5.155809832e-07,3.594423236e-06,7.829151929e-02,7.062496887e+07,2.208184073e+04,3.868386020e-03
pi+1.90,1.900000000e+00,4,5.883758762e-06,7.100479442e-07,3.571621463e-06,1.079778619e-01,7.050834389e+07,2.200897222e+04,3.184673120e-03
pi+1.90,1.900000000e+00,4,5.674190185e-06,9.170829662e-07,3.539222608e-06,1.397500364e-01,7.033045167e+07,2.189805525e+04,2.744731508e-03
pi+1.90,1.900000000e+00,4,5.449520811e-06,1.137412785e-06,3.495365632e-06,1.738116055e-01,7.008287179e+07,2.174415391e+04,2.451019452e-03
pi+1.90,1.900000000e+00,4,5.207957698e-06,1.371987023e-06,3.437768570e-06,2.104343927e-01,6.975247440e+07,2.153961671e+04,2.229239061e-03
pi+1.90,1.900000000e+00,4,4.947440143e-06,1.621714335e-06,3.363661822e-06,2.499308159e-01,6.932332344e+07,2.127538777e+04,2.051968154e-03
pi+1.90,1.900000000e+00,4,4.665588352e-06,1.887399846e-06,3.269679600e-06,2.926616700e-01,6.879849829e+07,2.095446860e+04,7.964420474e-05
pi+1.90,1.900000000e+00,4,4.379304546e-06,2.151719438e-06,3.159800735e-06,3.360644509e-01,6.817981118e+07,2.057928693e+04,2.254523739e-03
pi+1.90,1.900000000e+00,4,4.103931079e-06,2.399969461e-06,3.040699200e-06,3.778131423e-01,6.747099601e+07,2.015361588e+04,2.869489895e-03
pi+1.90,1.900000000e+00,4,3.838311632e-06,2.633210151e-06,2.913665750e-06,4.180830509e-01,6.668990560e+07,1.968969277e+04,3.424308139e-03
pi+1.90,1.900000000e+00,4,3.581473767e-06,2.852369348e-06,2.779793252e-06,4.570216053e-01,6.584132281e+07,1.919180532e+04,3.959320661e-03
pi+1.90,1.900000000e+00,4,3.332718154e-06,3.058163099e-06,2.640090824e-06,4.947348296e-01,6.492633505e+07,1.866209997e+04,4.438486118e-03
pi+1.90,1.900000000e+00,4,3.091078204e-06,3.251534291e-06,2.495221254e-06,5.313692659e-01,6.394555714e+07,1.810253874e+04,4.921072941e-03
pi+1.90,1.900000000e+00,4,2.855833105e-06,3.433208401e-06,2.345803847e-06,5.670341944e-01,6.289800734e+07,1.751428885e+04,5.400383302e-03
pi+1.90,1.900000000e+00,4,2.626349164e-06,3.603828280e-06,2.192365281e-06,6.018256881e-01,6.178128658e+07,1.689789591e+04,5.851276835e-03
pi+1.90,1.900000000e+00,4,2.401759746e-06,3.764178616e-06,2.035137666e-06,6.358751352e-01,6.059282917e+07,1.625403520e+04,6.330987053e-03
pi+1.90,1.900000000e+00,4,2.181519042e-06,3.914770482e-06,1.874448588e-06,6.692652845e-01,5.932752618e+07,1.558228752e+04,6.789654606e-03
pi+1.90,1.900000000e+00,4,1.964831725e-06,4.056244984e-06,1.710339700e-06,7.021167137e-01,5.797976382e+07,1.488235357e+04,7.259739400e-03
pi+1.90,1.900000000e+00,4,1.750956424e-06,4.189143312e-06,1.542785577e-06,7.345418199e-01,5.654122427e+07,1.415302097e+04,7.729514940e-03
pi+1.90,1.900000000e+00,4,1.539033432e-06,4.314006941e-06,1.371571205e-06,7.666709414e-01,5.500154563e+07,1.339271177e+04,8.214370500e-03
pi+1.90,1.900000000e+00,4,1.328191458e-06,4.431294033e-06,1.196379506e-06,7.986361726e-01,5.334653559e+07,1.259885785e+04,8.704835350e-03
pi+1.90,1.900000000e+00,4,1.117372856e-06,4.541458915e-06,1.016651268e-06,8.305978602e-01,5.155678697e+07,1.176766842e+04,9.198661560e-03
pi+1.90,1.900000000e+00,4,9.051974581e-07,4.644976403e-06,8.314583072e-07,8.627652484e-01,4.960571037e+07,1.089386730e+04,9.726216863e-03
pi+1.90,1.900000000e+00,4,6.901102671e-07,4.742209861e-06,6.396205730e-07,8.953740864e-01,4.745385095e+07,9.969230969e+03,1.027089548e-02
pi+1.90,1.900000000e+00,4,4.699309907e-07,4.833541850e-06,4.392950587e-07,9.287549228e-01,4.504461903e+07,8.982651911e+03,1.083453487e-02
pi+1.90,1.900000000e+00,4,2.414555129e-07,4.919371263e-06,2.275731682e-07,9.633935259e-01,4.239173854e+07,7.955751146e+03,1.117581865e-02
pi+1.90,1.900000000e+00,4,2.456395547e-20,5.000000000e-06,0.000000000e+00,1.000000000e+00,3.999620163e+07,7.082005054e+03,2.060801218e-02
