# Potential und Feldstaerke in einem festen Fenster, identisch fuer jede
# vorgeschriebene Form.  Punkte im Leiter tragen kein Feld und sind leer.
shape,r_m,z_m,phi_V,E_V_per_m
pi+0.00,2.291666667e-05,-1.000000000e-05,1.281200727e+03,9.590758451e+06
pi+0.00,2.312500000e-05,-1.000000000e-05,1.279440661e+03,9.487136460e+06
pi+0.00,2.333333333e-05,-1.000000000e-05,1.277707001e+03,9.386002412e+06
pi+0.00,2.354166667e-05,-1.000000000e-05,1.275973341e+03,9.285003594e+06
pi+0.00,2.375000000e-05,-1.000000000e-05,1.274239681e+03,9.184144467e+06
pi+0.00,2.395833333e-05,-1.000000000e-05,1.272565758e+03,9.088577876e+06
pi+0.00,2.416666667e-05,-1.000000000e-05,1.270923298e+03,8.995843452e+06
pi+0.00,2.437500000e-05,-1.000000000e-05,1.269280837e+03,8.903227573e+06
pi+0.00,2.458333333e-05,-1.000000000e-05,1.267638376e+03,8.810733976e+06
pi+0.00,2.479166667e-05,-1.000000000e-05,1.266003030e+03,8.718961058e+06
pi+0.00,2.500000000e-05,-1.000000000e-05,1.264454672e+03,8.634570174e+06
pi+0.00,0.000000000e+00,-9.750000000e-06,,
pi+0.00,2.083333333e-07,-9.750000000e-06,,
pi+0.00,4.166666667e-07,-9.750000000e-06,,
pi+0.00,6.250000000e-07,-9.750000000e-06,,
pi+0.00,8.333333333e-07,-9.750000000e-06,,
pi+0.00,1.041666667e-06,-9.750000000e-06,,
pi+0.00,1.250000000e-06,-9.750000000e-06,,
pi+0.00,1.458333333e-06,-9.750000000e-06,,
pi+0.00,1.666666667e-06,-9.750000000e-06,,
pi+0.00,1.875000000e-06,-9.750000000e-06,,
pi+0.00,2.083333333e-06,-9.750000000e-06,,
pi+0.00,2.291666667e-06,-9.750000000e-06,,
pi+0.00,2.500000000e-06,-9.750000000e-06,,
pi+0.00,2.708333333e-06,-9.750000000e-06,,
pi+0.00,2.916666667e-06,-9.750000000e-06,,
pi+0.00,3.125000000e-06,-9.750000000e-06,,
pi+0.00,3.333333333e-06,-9.750000000e-06,,
pi+0.00,3.541666667e-06,-9.750000000e-06,,
pi+0.00,3.750000000e-06,-9.750000000e-06,,
pi+0.00,3.958333333e-06,-9.750000000e-06,,
pi+0.00,4.166666667e-06,-9.750000000e-06,,
pi+0.00,4.375000000e-06,-9.750000000e-06,,
pi+0.00,4.583333333e-06,-9.750000000e-06,,
pi+0.00,4.791666667e-06,-9.750000000e-06,,
pi+0.00,5.000000000e-06,-9.750000000e-06,1.500000000e+03,1.640340146e+07
pi+0.00,5.208333333e-06,-9.750000000e-06,1.496580235e+03,1.603170025e+07
pi+0.00,5.416666667e-06,-9.750000000e-06,1.493303321e+03,1.541911348e+07
pi+0.00,5.625000000e-06,-9.750000000e-06,1.490154101e+03,1.484081275e+07
pi+0.00,5.833333333e-06,-9.750000000e-06,1.487111996e+03,1.429795511e+07
pi+0.00,6.041666667e-06,-9.750000000e-06,1.484151680e+03,1.378185569e+07
pi+0.00,6.250000000e-06,-9.750000000e-06,1.481353360e+03,1.331430951e+07
pi+0.00,6.458333333e-06,-9.750000000e-06,1.478608002e+03,1.286231005e+07
pi+0.00,6.666666667e-06,-9.750000000e-06,1.475976932e+03,1.244283643e+07
pi+0.00,6.875000000e-06,-9.750000000e-06,1.473415606e+03,1.204170067e+07
pi+0.00,7.083333333e-06,-9.750000000e-06,1.470953866e+03,1.166634037e+07
pi+0.00,7.291666667e-06,-9.750000000e-06,1.468537505e+03,1.130239488e+07
pi+0.00,7.500000000e-06,-9.750000000e-06,1.466247145e+03,1.096856650e+07
pi+0.00,7.708333333e-06,-9.750000000e-06,1.463956785e+03,1.063555675e+07
pi+0.00,7.916666667e-06,-9.750000000e-06,1.461811332e+03,1.034910928e+07
pi+0.00,8.125000000e-06,-9.750000000e-06,1.459693649e+03,1.007209289e+07
pi+0.00,8.333333333e-06,-9.750000000e-06,1.457592285e+03,9.798603382e+06
pi+0.00,8.541666667e-06,-9.750000000e-06,1.455637787e+03,9.551125847e+06
pi+0.00,8.750000000e-06,-9.750000000e-06,1.453683288e+03,9.304279954e+06
pi+0.00,8.958333333e-06,-9.750000000e-06,1.451778645e+03,9.060783549e+06
pi+0.00,9.166666667e-06,-9.750000000e-06,1.449962319e+03,8.822680627e+06
pi+0.00,9.375000000e-06,-9.750000000e-06,1.448145992e+03,8.585270532e+06
pi+0.00,9.583333333e-06,-9.750000000e-06,1.446433972e+03,8.366058790e+06
pi+0.00,9.791666667e-06,-9.750000000e-06,1.444729178e+03,8.148685360e+06
pi+0.00,1.000000000e-05,-9.750000000e-06,1.443096345e+03,7.943614130e+06
pi+0.00,1.020833333e-05,-9.750000000e-06,1.441482859e+03,7.742255677e+06
pi+0.00,1.041666667e-05,-9.750000000e-06,1.439936358e+03,7.551574610e+06
pi+0.00,1.062500000e-05,-9.750000000e-06,1.438411344e+03,7.364668775e+06
pi+0.00,1.083333333e-05,-9.750000000e-06,1.436936477e+03,7.185831897e+06
pi+0.00,1.104166667e-05,-9.750000000e-06,1.435499610e+03,7.013032064e+06
pi+0.00,1.125000000e-05,-9.750000000e-06,1.434095703e+03,6.845445913e+06
pi+0.00,1.145833333e-05,-9.750000000e-06,1.432727691e+03,6.699422328e+06
pi+0.00,1.166666667e-05,-9.750000000e-06,1.430782225e+03,2.131672483e+07
pi+0.00,1.187500000e-05,-9.750000000e-06,1.426441301e+03,2.100439431e+07
pi+0.00,1.208333333e-05,-9.750000000e-06,1.422189556e+03,2.059505622e+07
pi+0.00,1.229166667e-05,-9.750000000e-06,1.418025770e+03,2.019901056e+07
pi+0.00,1.250000000e-05,-9.750000000e-06,1.413944816e+03,1.981500622e+07
pi+0.00,1.270833333e-05,-9.750000000e-06,1.409936383e+03,1.944168211e+07
pi+0.00,1.291666667e-05,-9.750000000e-06,1.406028584e+03,1.908293935e+07
pi+0.00,1.312500000e-05,-9.750000000e-06,1.402195285e+03,1.873440606e+07
pi+0.00,1.333333333e-05,-9.750000000e-06,1.398406819e+03,1.839229170e+07
pi+0.00,1.354166667e-05,-9.750000000e-06,1.394743230e+03,1.806715019e+07
pi+0.00,1.375000000e-05,-9.750000000e-06,1.391096916e+03,1.774487302e+07
pi+0.00,1.395833333e-05,-9.750000000e-06,1.387575079e+03,1.743869936e+07
pi+0.00,1.416666667e-05,-9.750000000e-06,1.384053243e+03,1.713317800e+07
pi+0.00,1.437500000e-05,-9.750000000e-06,1.380675229e+03,1.684593177e+07
pi+0.00,1.458333333e-05,-9.750000000e-06,1.377300464e+03,1.655967702e+07
pi+0.00,1.479166667e-05,-9.750000000e-06,1.374015606e+03,1.628462833e+07
pi+0.00,1.500000000e-05,-9.750000000e-06,1.370796543e+03,1.601787612e+07
pi+0.00,1.520833333e-05,-9.750000000e-06,1.367577479e+03,1.575167620e+07
