# boundary mesh nodes in the meridian half-plane (r, z), SI
index,r_m,z_m,on_axis,is_corner,feature
189,1.36961572949982196e-05,-2.21769437699893295e-05,0,0,
190,1.28835338816371771e-05,-1.73012032898230611e-05,0,0,
191,1.22447387645817205e-05,-1.34684325874903247e-05,0,0,
192,1.17425882026063056e-05,-1.04555292156378318e-05,0,0,
193,1.13478526438316124e-05,-8.08711586298967942e-06,0,0,
194,1.10375552381687235e-05,-6.22533142901234287e-06,0,0,
195,1.07936336210692002e-05,-4.76180172641520665e-06,0,0,
196,1.06018899916628718e-05,-3.61133994997722913e-06,0,0,
197,1.04511621576978940e-05,-2.70697294618737257e-06,0,0,
198,1.03326767238952526e-05,-1.99606034337152058e-06,0,0,
199,1.02395371429361139e-05,-1.43722285761669228e-06,0,0,
200,1.01663200778789291e-05,-9.97920467273573039e-07,0,0,
201,1.01087652680678637e-05,-6.52591608407180972e-07,0,0,
202,1.00635253575103042e-05,-3.81152145061823446e-07,0,0,
203,1.00279641279937589e-05,-1.67784767962548566e-07,0,0,
204,1.99999999999999982e-04,6.00000000000000056e-04,0,1,extractor_aperture_edge_back
205,1.99999999999999982e-04,5.96488120003933709e-04,0,0,
206,1.99999999999999982e-04,5.91989557848257510e-04,0,0,
207,1.99999999999999982e-04,5.86226881207818650e-04,0,0,
208,1.99999999999999982e-04,5.78845389395768375e-04,0,0,
209,1.99999999999999982e-04,5.69389945485934993e-04,0,0,
210,1.99999999999999982e-04,5.57277880994035222e-04,0,0,
211,1.99999999999999982e-04,5.42722119005964844e-04,0,0,
212,1.99999999999999982e-04,5.30610054514065073e-04,0,0,
213,1.99999999999999982e-04,5.21154610604231691e-04,0,0,
214,1.99999999999999982e-04,5.13773118792181416e-04,0,0,
215,1.99999999999999982e-04,5.08010442151742556e-04,0,0,
216,1.99999999999999982e-04,5.03511879996066357e-04,0,0,
217,1.99999999999999982e-04,5.00000000000000010e-04,0,1,extractor_aperture_edge_front
218,2.03459902983208082e-04,5.00000000000000010e-04,0,0,
219,2.07876727161323979e-04,5.00000000000000010e-04,0,0,
220,2.13516445617572620e-04,5.00000000000000010e-04,0,0,
221,2.20716343476966764e-04,5.00000000000000010e-04,0,0,
222,2.29910288214837493e-04,5.00000000000000010e-04,0,0,
223,2.41648443393371838e-04,5.00000000000000010e-04,0,0,
224,2.56635397953890176e-04,5.00000000000000010e-04,0,0,
225,2.75770956033992854e-04,5.00000000000000010e-04,0,0,
226,3.00203107409825905e-04,5.00000000000000010e-04,0,0,
227,3.31397496895354492e-04,5.00000000000000010e-04,0,0,
228,3.71226064580274179e-04,5.00000000000000010e-04,0,0,
229,4.22078622740421397e-04,5.00000000000000010e-04,0,0,
230,4.87006400057611718e-04,5.00000000000000010e-04,0,0,
231,5.68906702681319697e-04,5.00000000000000010e-04,0,0,
232,6.55675072549396706e-04,5.00000000000000010e-04,0,0,
233,7.42443442417473932e-04,5.00000000000000010e-04,0,0,
234,8.29211812285551159e-04,5.00000000000000010e-04,0,0,
235,9.15980182153628385e-04,5.00000000000000010e-04,0,0,
236,1.00274855202170539e-03,5.00000000000000010e-04,0,0,
237,1.08951692188978262e-03,5.00000000000000010e-04,0,0,
238,1.17628529175785963e-03,5.00000000000000010e-04,0,0,
239,1.26305366162593686e-03,5.00000000000000010e-04,0,0,
240,1.34982203149401408e-03,5.00000000000000010e-04,0,0,
241,1.43659040136209131e-03,5.00000000000000010e-04,0,0,
242,1.52335877123016810e-03,5.00000000000000010e-04,0,0,
243,1.61012714109824533e-03,5.00000000000000010e-04,0,0,
244,1.69688986076507948e-03,5.00000000000000010e-04,0,0,
245,1.77343805899187173e-03,5.00000000000000010e-04,0,0,
246,1.83339182490745156e-03,5.00000000000000010e-04,0,0,
247,1.88034869922339924e-03,5.00000000000000010e-04,0,0,
248,1.91712614790096308e-03,5.00000000000000010e-04,0,0,
249,1.94593074971576583e-03,5.00000000000000010e-04,0,0,
250,1.96849104468446636e-03,5.00000000000000010e-04,0,0,
251,1.98616057993631322e-03,5.00000000000000010e-04,0,0,
252,2.00000000000000004e-03,5.00000000000000010e-04,0,1,
253,2.00000000000000004e-03,6.00000000000000056e-04,0,1,
254,1.98616057993631278e-03,6.00000000000000056e-04,0,0,
255,1.96849104468446679e-03,6.00000000000000056e-04,0,0,
256,1.94593074971576669e-03,6.00000000000000056e-04,0,0,
257,1.91712614790096373e-03,6.00000000000000056e-04,0,0,
258,1.88034869922339989e-03,6.00000000000000056e-04,0,0,
259,1.83339182490745178e-03,6.00000000000000056e-04,0,0,
260,1.77343805899187129e-03,6.00000000000000056e-04,0,0,
261,1.69688986076507948e-03,6.00000000000000056e-04,0,0,
262,1.61012714109824858e-03,6.00000000000000056e-04,0,0,
263,1.52335877123017135e-03,6.00000000000000056e-04,0,0,
264,1.43659040136209391e-03,6.00000000000000056e-04,0,0,
265,1.34982203149401668e-03,6.00000000000000056e-04,0,0,
266,1.26305366162593946e-03,6.00000000000000056e-04,0,0,
267,1.17628529175786223e-03,6.00000000000000056e-04,0,0,
268,1.08951692188978501e-03,6.00000000000000056e-04,0,0,
269,1.00274855202170778e-03,6.00000000000000056e-04,0,0,
270,9.15980182153630770e-04,6.00000000000000056e-04,0,0,
271,8.29211812285553544e-04,6.00000000000000056e-04,0,0,
272,7.42443442417476318e-04,6.00000000000000056e-04,0,0,
