# Bahnen im r-z-Schnitt.  Jede Zeile ist ein Bahnpunkt; die Bahnen sind
# durch Neustarten der Integration mit wachsender Schrittzahl abgetastet,
# damit die Datei nicht die ganze Historie tragen muss.
case,particle,step,r_m,z_m
kation_ohne_raumladung,4,14395,1.097560976e-06,3.606888908e-05
kation_ohne_raumladung,4,14794,1.097560976e-06,3.809049173e-05
kation_ohne_raumladung,4,15194,1.097560976e-06,4.017263773e-05
kation_ohne_raumladung,4,15594,1.097560976e-06,4.231032985e-05
kation_ohne_raumladung,4,15994,1.097560976e-06,4.450356807e-05
kation_ohne_raumladung,4,16394,1.097560976e-06,4.675235241e-05
kation_ohne_raumladung,4,16794,1.097560976e-06,4.905668286e-05
kation_ohne_raumladung,4,17193,1.097560976e-06,5.141059047e-05
kation_ohne_raumladung,4,17593,1.097560976e-06,5.382587428e-05
kation_ohne_raumladung,4,17993,1.097560976e-06,5.629670420e-05
kation_ohne_raumladung,4,18393,1.097560976e-06,5.882308024e-05
kation_ohne_raumladung,4,18793,1.097560976e-06,6.140500238e-05
kation_ohne_raumladung,4,19193,1.097560976e-06,6.404247064e-05
kation_ohne_raumladung,4,19592,1.097560976e-06,6.672868321e-05
kation_ohne_raumladung,4,19992,1.097560976e-06,6.947710483e-05
kation_ohne_raumladung,4,20392,1.097560976e-06,7.228107255e-05
kation_ohne_raumladung,4,20792,1.097560976e-06,7.514058639e-05
kation_ohne_raumladung,4,21192,1.097560976e-06,7.805564634e-05
kation_ohne_raumladung,4,21592,1.097560976e-06,8.102625241e-05
kation_ohne_raumladung,4,21991,1.097560976e-06,8.404476994e-05
kation_ohne_raumladung,4,22391,1.097560976e-06,8.712632936e-05
kation_ohne_raumladung,4,22791,1.097560976e-06,9.026343489e-05
kation_ohne_raumladung,4,23191,1.097560976e-06,9.345608654e-05
kation_ohne_raumladung,4,23591,1.097560976e-06,9.670428430e-05
kation_ohne_raumladung,4,23991,1.097560976e-06,1.000000000e-04
kation_ohne_raumladung,8,1,2.073170732e-06,1.000001736e-07
kation_ohne_raumladung,8,400,2.073170732e-06,1.277730559e-07
kation_ohne_raumladung,8,800,2.073170732e-06,2.110922237e-07
kation_ohne_raumladung,8,1200,2.073170732e-06,3.499575034e-07
kation_ohne_raumladung,8,1600,2.073170732e-06,5.443688949e-07
kation_ohne_raumladung,8,2000,2.073170732e-06,7.943263983e-07
kation_ohne_raumladung,8,2400,2.073170732e-06,1.099830014e-06
kation_ohne_raumladung,8,2799,2.073170732e-06,1.459907857e-06
kation_ohne_raumladung,8,3199,2.073170732e-06,1.876364831e-06
kation_ohne_raumladung,8,3599,2.073170732e-06,2.348367917e-06
kation_ohne_raumladung,8,3999,2.073170732e-06,2.875917114e-06
kation_ohne_raumladung,8,4399,2.073170732e-06,3.459012423e-06
kation_ohne_raumladung,8,4799,2.073170732e-06,4.097653844e-06
kation_ohne_raumladung,8,5198,2.073170732e-06,4.790036650e-06
kation_ohne_raumladung,8,5598,2.073170732e-06,5.539631429e-06
kation_ohne_raumladung,8,5998,2.073170732e-06,6.344772321e-06
kation_ohne_raumladung,8,6398,2.073170732e-06,7.205459324e-06
kation_ohne_raumladung,8,6798,2.073170732e-06,8.121692439e-06
kation_ohne_raumladung,8,7198,2.073170732e-06,9.093471666e-06
kation_ohne_raumladung,8,7597,2.073170732e-06,1.011815943e-05
kation_ohne_raumladung,8,7997,2.073170732e-06,1.120089202e-05
kation_ohne_raumladung,8,8397,2.073170732e-06,1.233917072e-05
kation_ohne_raumladung,8,8797,2.073170732e-06,1.353299552e-05
kation_ohne_raumladung,8,9197,2.073170732e-06,1.478236645e-05
kation_ohne_raumladung,8,9597,2.073170732e-06,1.608728348e-05
kation_ohne_raumladung,8,9996,2.073170732e-06,1.744427621e-05
kation_ohne_raumladung,8,10396,2.073170732e-06,1.886014660e-05
kation_ohne_raumladung,8,10796,2.073170732e-06,2.033156310e-05
kation_ohne_raumladung,8,11196,2.073170732e-06,2.185852572e-05
kation_ohne_raumladung,8,11596,2.073170732e-06,2.344103444e-05
kation_ohne_raumladung,8,11996,2.073170732e-06,2.507908928e-05
kation_ohne_raumladung,8,12395,2.073170732e-06,2.676838697e-05
kation_ohne_raumladung,8,12795,2.073170732e-06,2.851739517e-05
kation_ohne_raumladung,8,13195,2.073170732e-06,3.032194948e-05
kation_ohne_raumladung,8,13595,2.073170732e-06,3.218204990e-05
kation_ohne_raumladung,8,13995,2.073170732e-06,3.409769643e-05
kation_ohne_raumladung,8,14395,2.073170732e-06,3.606888908e-05
kation_ohne_raumladung,8,14794,2.073170732e-06,3.809049173e-05
kation_ohne_raumladung,8,15194,2.073170732e-06,4.017263773e-05
kation_ohne_raumladung,8,15594,2.073170732e-06,4.231032985e-05
kation_ohne_raumladung,8,15994,2.073170732e-06,4.450356807e-05
kation_ohne_raumladung,8,16394,2.073170732e-06,4.675235241e-05
kation_ohne_raumladung,8,16794,2.073170732e-06,4.905668286e-05
kation_ohne_raumladung,8,17193,2.073170732e-06,5.141059047e-05
kation_ohne_raumladung,8,17593,2.073170732e-06,5.382587428e-05
kation_ohne_raumladung,8,17993,2.073170732e-06,5.629670420e-05
kation_ohne_raumladung,8,18393,2.073170732e-06,5.882308024e-05
kation_ohne_raumladung,8,18793,2.073170732e-06,6.140500238e-05
kation_ohne_raumladung,8,19193,2.073170732e-06,6.404247064e-05
kation_ohne_raumladung,8,19592,2.073170732e-06,6.672868321e-05
kation_ohne_raumladung,8,19992,2.073170732e-06,6.947710483e-05
kation_ohne_raumladung,8,20392,2.073170732e-06,7.228107255e-05
kation_ohne_raumladung,8,20792,2.073170732e-06,7.514058639e-05
kation_ohne_raumladung,8,21192,2.073170732e-06,7.805564634e-05
kation_ohne_raumladung,8,21592,2.073170732e-06,8.102625241e-05
kation_ohne_raumladung,8,21991,2.073170732e-06,8.404476994e-05
kation_ohne_raumladung,8,22391,2.073170732e-06,8.712632936e-05
kation_ohne_raumladung,8,22791,2.073170732e-06,9.026343489e-05
kation_ohne_raumladung,8,23191,2.073170732e-06,9.345608654e-05
kation_ohne_raumladung,8,23591,2.073170732e-06,9.670428430e-05
kation_ohne_raumladung,8,23991,2.073170732e-06,1.000000000e-04
kation_ohne_raumladung,12,1,3.048780488e-06,1.000001736e-07
kation_ohne_raumladung,12,400,3.048780488e-06,1.277730559e-07
kation_ohne_raumladung,12,800,3.048780488e-06,2.110922237e-07
kation_ohne_raumladung,12,1200,3.048780488e-06,3.499575034e-07
kation_ohne_raumladung,12,1600,3.048780488e-06,5.443688949e-07
kation_ohne_raumladung,12,2000,3.048780488e-06,7.943263983e-07
kation_ohne_raumladung,12,2400,3.048780488e-06,1.099830014e-06
kation_ohne_raumladung,12,2799,3.048780488e-06,1.459907857e-06
kation_ohne_raumladung,12,3199,3.048780488e-06,1.876364831e-06
kation_ohne_raumladung,12,3599,3.048780488e-06,2.348367917e-06
kation_ohne_raumladung,12,3999,3.048780488e-06,2.875917114e-06
kation_ohne_raumladung,12,4399,3.048780488e-06,3.459012423e-06
kation_ohne_raumladung,12,4799,3.048780488e-06,4.097653844e-06
kation_ohne_raumladung,12,5198,3.048780488e-06,4.790036650e-06
kation_ohne_raumladung,12,5598,3.048780488e-06,5.539631429e-06
kation_ohne_raumladung,12,5998,3.048780488e-06,6.344772321e-06
kation_ohne_raumladung,12,6398,3.048780488e-06,7.205459324e-06
kation_ohne_raumladung,12,6798,3.048780488e-06,8.121692439e-06
kation_ohne_raumladung,12,7198,3.048780488e-06,9.093471666e-06
kation_ohne_raumladung,12,7597,3.048780488e-06,1.011815943e-05
kation_ohne_raumladung,12,7997,3.048780488e-06,1.120089202e-05
kation_ohne_raumladung,12,8397,3.048780488e-06,1.233917072e-05
kation_ohne_raumladung,12,8797,3.048780488e-06,1.353299552e-05
kation_ohne_raumladung,12,9197,3.048780488e-06,1.478236645e-05
kation_ohne_raumladung,12,9597,3.048780488e-06,1.608728348e-05
kation_ohne_raumladung,12,9996,3.048780488e-06,1.744427621e-05
