# Volumenladung, Potential mit und ohne Ladung, und die Differenz.
# Die Ladungsdichte ist die deponierte Knotenladung geteilt durch das
# zugehoerige Knotenvolumen -- eine ABGELEITETE Groesse zur Anzeige,
# nicht die Groesse, mit der gerechnet wurde (das ist die Knotenladung).
r_m,z_m,node_charge_C,phi_V,phi_no_charge_V,dphi_V,Er_V_per_m,Ez_V_per_m,dEr_V_per_m,dEz_V_per_m
1.000000000e-06,-3.866666667e-05,0.000000000e+00,1.729483387e-01,8.526885532e-03,1.644214532e-01,1.509111164e+03,-1.310971296e+05,1.444991951e+03,-1.246429170e+05
1.333333333e-06,-3.866666667e-05,0.000000000e+00,1.723806600e-01,8.502726195e-03,1.638779338e-01,1.975575262e+03,-1.306642728e+05,1.891538876e+03,-1.242283470e+05
1.666666667e-06,-3.866666667e-05,0.000000000e+00,1.716548734e-01,8.471797399e-03,1.631830760e-01,2.443224186e+03,-1.301108909e+05,2.339140629e+03,-1.236983758e+05
2.000000000e-06,-3.866666667e-05,0.000000000e+00,1.707722356e-01,8.434123104e-03,1.623381125e-01,2.908346899e+03,-1.294379661e+05,2.784225359e+03,-1.230539676e+05
2.333333333e-06,-3.866666667e-05,0.000000000e+00,1.697344770e-01,8.389741493e-03,1.613447355e-01,3.368804851e+03,-1.286468459e+05,3.224728001e+03,-1.222964409e+05
2.666666667e-06,-3.866666667e-05,0.000000000e+00,1.685437144e-01,8.338701661e-03,1.602050128e-01,3.823071321e+03,-1.277391769e+05,3.659170547e+03,-1.214274052e+05
3.000000000e-06,-3.866666667e-05,0.000000000e+00,1.672024085e-01,8.281062207e-03,1.589213462e-01,4.269914224e+03,-1.267168716e+05,4.086358480e+03,-1.204487287e+05
3.333333333e-06,-3.866666667e-05,0.000000000e+00,1.657133356e-01,8.216890523e-03,1.574964451e-01,4.708271640e+03,-1.255820867e+05,4.505261724e+03,-1.193625169e+05
3.666666667e-06,-3.866666667e-05,0.000000000e+00,1.640795660e-01,8.146262365e-03,1.559333036e-01,5.137197136e+03,-1.243372055e+05,4.914962423e+03,-1.181710958e+05
4.000000000e-06,-3.866666667e-05,0.000000000e+00,1.623044435e-01,8.069261567e-03,1.542351820e-01,5.555833890e+03,-1.229848221e+05,5.314630270e+03,-1.168769962e+05
4.333333333e-06,-3.866666667e-05,0.000000000e+00,1.603915666e-01,7.985979815e-03,1.524055868e-01,5.963401845e+03,-1.215277267e+05,5.703510300e+03,-1.154829388e+05
4.666666667e-06,-3.866666667e-05,0.000000000e+00,1.583447691e-01,7.896516451e-03,1.504482527e-01,6.359191119e+03,-1.199688898e+05,6.080916651e+03,-1.139918189e+05
5.000000000e-06,-3.866666667e-05,0.000000000e+00,1.561681010e-01,7.800978296e-03,1.483671227e-01,6.742558522e+03,-1.183114473e+05,6.446229282e+03,-1.124066915e+05
