# Advektierte Oberflaeche gegen die exakte Lagrange-Abbildung.
# Das Feld ist VORGESCHRIEBEN; nichts wird dafuer geloest.
case,t_over_T,node,r_m,z_m,r_exact_m,z_exact_m
dilatation,0.2500,15,1.644678165e-06,5.421777306e-06,1.644678165e-06,5.421777306e-06
dilatation,0.2500,16,1.750810646e-06,5.388441101e-06,1.750810646e-06,5.388441101e-06
dilatation,0.2500,17,1.856268156e-06,5.353027550e-06,1.856268156e-06,5.353027550e-06
dilatation,0.2500,18,1.961010039e-06,5.315550305e-06,1.961010039e-06,5.315550305e-06
dilatation,0.2500,19,2.064995916e-06,5.276023814e-06,2.064995916e-06,5.276023814e-06
dilatation,0.2500,20,2.168185697e-06,5.234463315e-06,2.168185697e-06,5.234463315e-06
dilatation,0.2500,21,2.270539601e-06,5.190884832e-06,2.270539601e-06,5.190884832e-06
dilatation,0.2500,22,2.372018170e-06,5.145305163e-06,2.372018170e-06,5.145305163e-06
dilatation,0.2500,23,2.472582280e-06,5.097741881e-06,2.472582280e-06,5.097741881e-06
dilatation,0.2500,24,2.572193162e-06,5.048213323e-06,2.572193162e-06,5.048213323e-06
dilatation,0.2500,25,2.670812416e-06,4.996738582e-06,2.670812416e-06,4.996738582e-06
dilatation,0.2500,26,2.768402020e-06,4.943337504e-06,2.768402020e-06,4.943337504e-06
dilatation,0.2500,27,2.864924352e-06,4.888030674e-06,2.864924352e-06,4.888030674e-06
dilatation,0.2500,28,2.960342202e-06,4.830839416e-06,2.960342202e-06,4.830839416e-06
dilatation,0.2500,29,3.054618783e-06,4.771785778e-06,3.054618783e-06,4.771785778e-06
dilatation,0.2500,30,3.147717751e-06,4.710892525e-06,3.147717751e-06,4.710892525e-06
dilatation,0.2500,31,3.239603213e-06,4.648183133e-06,3.239603213e-06,4.648183133e-06
dilatation,0.2500,32,3.330239747e-06,4.583681778e-06,3.330239747e-06,4.583681778e-06
dilatation,0.2500,33,3.419592410e-06,4.517413327e-06,3.419592410e-06,4.517413327e-06
dilatation,0.2500,34,3.507626755e-06,4.449403327e-06,3.507626755e-06,4.449403327e-06
dilatation,0.2500,35,3.594308843e-06,4.379677997e-06,3.594308843e-06,4.379677997e-06
dilatation,0.2500,36,3.679605257e-06,4.308264218e-06,3.679605257e-06,4.308264218e-06
dilatation,0.2500,37,3.763483112e-06,4.235189521e-06,3.763483112e-06,4.235189521e-06
dilatation,0.2500,38,3.845910074e-06,4.160482078e-06,3.845910074e-06,4.160482078e-06
dilatation,0.2500,39,3.926854364e-06,4.084170690e-06,3.926854364e-06,4.084170690e-06
dilatation,0.2500,40,4.006284776e-06,4.006284776e-06,4.006284776e-06,4.006284776e-06
dilatation,0.2500,41,4.084170690e-06,3.926854364e-06,4.084170690e-06,3.926854364e-06
dilatation,0.2500,42,4.160482078e-06,3.845910074e-06,4.160482078e-06,3.845910074e-06
dilatation,0.2500,43,4.235189521e-06,3.763483112e-06,4.235189521e-06,3.763483112e-06
dilatation,0.2500,44,4.308264218e-06,3.679605257e-06,4.308264218e-06,3.679605257e-06
dilatation,0.2500,45,4.379677997e-06,3.594308843e-06,4.379677997e-06,3.594308843e-06
dilatation,0.2500,46,4.449403327e-06,3.507626755e-06,4.449403327e-06,3.507626755e-06
dilatation,0.2500,47,4.517413327e-06,3.419592410e-06,4.517413327e-06,3.419592410e-06
dilatation,0.2500,48,4.583681778e-06,3.330239747e-06,4.583681778e-06,3.330239747e-06
dilatation,0.2500,49,4.648183133e-06,3.239603213e-06,4.648183133e-06,3.239603213e-06
dilatation,0.2500,50,4.710892525e-06,3.147717751e-06,4.710892525e-06,3.147717751e-06
dilatation,0.2500,51,4.771785778e-06,3.054618783e-06,4.771785778e-06,3.054618783e-06
dilatation,0.2500,52,4.830839416e-06,2.960342202e-06,4.830839416e-06,2.960342202e-06
dilatation,0.2500,53,4.888030674e-06,2.864924352e-06,4.888030674e-06,2.864924352e-06
dilatation,0.2500,54,4.943337504e-06,2.768402020e-06,4.943337504e-06,2.768402020e-06
dilatation,0.2500,55,4.996738582e-06,2.670812416e-06,4.996738582e-06,2.670812416e-06
dilatation,0.2500,56,5.048213323e-06,2.572193162e-06,5.048213323e-06,2.572193162e-06
dilatation,0.2500,57,5.097741881e-06,2.472582280e-06,5.097741881e-06,2.472582280e-06
dilatation,0.2500,58,5.145305163e-06,2.372018170e-06,5.145305163e-06,2.372018170e-06
dilatation,0.2500,59,5.190884832e-06,2.270539601e-06,5.190884832e-06,2.270539601e-06
dilatation,0.2500,60,5.234463315e-06,2.168185697e-06,5.234463315e-06,2.168185697e-06
dilatation,0.2500,61,5.276023814e-06,2.064995916e-06,5.276023814e-06,2.064995916e-06
dilatation,0.2500,62,5.315550305e-06,1.961010039e-06,5.315550305e-06,1.961010039e-06
dilatation,0.2500,63,5.353027550e-06,1.856268156e-06,5.353027550e-06,1.856268156e-06
dilatation,0.2500,64,5.388441101e-06,1.750810646e-06,5.388441101e-06,1.750810646e-06
dilatation,0.2500,65,5.421777306e-06,1.644678165e-06,5.421777306e-06,1.644678165e-06
dilatation,0.2500,66,5.453023312e-06,1.537911629e-06,5.453023312e-06,1.537911629e-06
dilatation,0.2500,67,5.482167073e-06,1.430552200e-06,5.482167073e-06,1.430552200e-06
dilatation,0.2500,68,5.509197356e-06,1.322641265e-06,5.509197356e-06,1.322641265e-06
dilatation,0.2500,69,5.534103737e-06,1.214220426e-06,5.534103737e-06,1.214220426e-06
