# Geloestes Geschwindigkeitsprofil in der Mittelebene gegen die
# geschlossene Parabel.  Die Reduktion ist EXAKT fuer das gerade Rohr:
# Kontinuitaet erzwingt du_z/dz = 0, der konvektive Term verschwindet
# identisch, und die z-Impulsgleichung IST der achsensymmetrische
# Laplace-Operator.  Fuer alles andere gilt das nicht.
r_over_R,u_solved_m_per_s,u_closed_form_m_per_s,difference
4.375000000e-01,4.631881114e-03,4.631757802e-03,1.233123209e-07
4.500000000e-01,4.568330090e-03,4.568210980e-03,1.191103225e-07
4.625000000e-01,4.502989130e-03,4.502874106e-03,1.150234473e-07
4.750000000e-01,4.435858227e-03,4.435747182e-03,1.110455555e-07
4.875000000e-01,4.366937377e-03,4.366830206e-03,1.071709855e-07
5.000000000e-01,4.296226573e-03,4.296123178e-03,1.033945059e-07
5.125000000e-01,4.223725811e-03,4.223626100e-03,9.971127273e-08
5.250000000e-01,4.149435087e-03,4.149338970e-03,9.611679216e-08
5.375000000e-01,4.073354395e-03,4.073261789e-03,9.260688761e-08
5.500000000e-01,3.995483734e-03,3.995394556e-03,8.917767051e-08
5.625000000e-01,3.915823098e-03,3.915737272e-03,8.582551447e-08
5.750000000e-01,3.834372484e-03,3.834289937e-03,8.254703220e-08
5.875000000e-01,3.751131889e-03,3.751052550e-03,7.933905492e-08
6.000000000e-01,3.666101311e-03,3.666025112e-03,7.619861399e-08
6.125000000e-01,3.579280746e-03,3.579207623e-03,7.312292443e-08
6.250000000e-01,3.490670192e-03,3.490600082e-03,7.010937002e-08
6.375000000e-01,3.400269646e-03,3.400202491e-03,6.715548995e-08
6.500000000e-01,3.308079106e-03,3.308014847e-03,6.425896677e-08
6.625000000e-01,3.214098570e-03,3.214037153e-03,6.141761546e-08
6.750000000e-01,3.118328036e-03,3.118269407e-03,5.862937352e-08
6.875000000e-01,3.020767502e-03,3.020711610e-03,5.589229198e-08
7.000000000e-01,2.921416966e-03,2.921363761e-03,5.320452723e-08
7.125000000e-01,2.820276426e-03,2.820225862e-03,5.056433354e-08
7.250000000e-01,2.717345880e-03,2.717297910e-03,4.797005626e-08
7.375000000e-01,2.612625328e-03,2.612579908e-03,4.542012560e-08
7.500000000e-01,2.506114767e-03,2.506071854e-03,4.291305091e-08
7.625000000e-01,2.397814196e-03,2.397773749e-03,4.044741548e-08
7.750000000e-01,2.287723614e-03,2.287685593e-03,3.802187168e-08
7.875000000e-01,2.175843020e-03,2.175807385e-03,3.563513658e-08
8.000000000e-01,2.062172412e-03,2.062139126e-03,3.328598786e-08
8.125000000e-01,1.946711788e-03,1.946680815e-03,3.097326005e-08
8.250000000e-01,1.829461149e-03,1.829432453e-03,2.869584106e-08
8.375000000e-01,1.710420493e-03,1.710394040e-03,2.645266898e-08
8.500000000e-01,1.589589819e-03,1.589565576e-03,2.424272907e-08
8.625000000e-01,1.466969125e-03,1.466947060e-03,2.206505106e-08
8.750000000e-01,1.342558412e-03,1.342538493e-03,1.991870655e-08
8.875000000e-01,1.216357678e-03,1.216339875e-03,1.780280664e-08
9.000000000e-01,1.088366922e-03,1.088351205e-03,1.571649974e-08
9.125000000e-01,9.585861432e-04,9.585724842e-04,1.365896948e-08
9.250000000e-01,8.270153413e-04,8.270037119e-04,1.162943284e-08
9.375000000e-01,6.936545153e-04,6.936448882e-04,9.627138294e-09
9.500000000e-01,5.585036646e-04,5.584960132e-04,7.651364208e-09
9.625000000e-01,4.215627883e-04,4.215570869e-04,5.701417235e-09
9.750000000e-01,2.828318859e-04,2.828281092e-04,3.776630865e-09
9.875000000e-01,1.423109567e-04,1.423090803e-04,1.876364071e-09
1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
