# potential and axial field on r = 0, from the flat liquid surface to the
# top of the plotted region.  Inside the liquid column V = V_emitter.
z_m,V_V,Ez_V_per_m
2.855555556e-05,7.387404524e+02,1.138718785e+07
3.066666667e-05,7.156559990e+02,1.050314012e+07
3.277777778e-05,6.943138589e+02,9.732949816e+06
3.488888889e-05,6.744949606e+02,9.057193266e+06
3.700000000e-05,6.560168767e+02,8.460405327e+06
3.911111111e-05,6.387264692e+02,7.930172644e+06
4.122222222e-05,6.224942023e+02,7.456450050e+06
4.333333333e-05,6.072097137e+02,7.031043697e+06
4.544444444e-05,5.927783397e+02,6.647218193e+06
4.755555556e-05,5.791183672e+02,6.299396090e+06
4.966666667e-05,5.661588442e+02,5.982926364e+06
5.177777778e-05,5.538378214e+02,5.693904729e+06
5.388888889e-05,5.421009302e+02,5.429033145e+06
5.600000000e-05,5.309002241e+02,5.185509158e+06
5.811111111e-05,5.201932288e+02,4.960938100e+06
6.022222222e-05,5.099421579e+02,4.753262964e+06
6.233333333e-05,5.001132617e+02,4.560707989e+06
6.444444444e-05,4.906762836e+02,4.381733012e+06
6.655555556e-05,4.816040030e+02,4.214996278e+06
6.866666667e-05,4.728718499e+02,4.059323983e+06
7.077777778e-05,4.644575773e+02,3.913685175e+06
7.288888889e-05,4.563409828e+02,3.777170970e+06
7.500000000e-05,4.485036691e+02,3.648977244e+06
7.711111111e-05,4.409288390e+02,3.528390157e+06
7.922222222e-05,4.336011179e+02,3.414773982e+06
8.133333333e-05,4.265064000e+02,3.307560836e+06
8.344444444e-05,4.196317144e+02,3.206241962e+06
8.555555556e-05,4.129651088e+02,3.110360318e+06
8.766666667e-05,4.064955464e+02,3.019504241e+06
8.977777778e-05,4.002128168e+02,2.933302004e+06
9.188888889e-05,3.941074561e+02,2.851417141e+06
9.400000000e-05,3.881706772e+02,2.773544403e+06
9.611111111e-05,3.823943078e+02,2.699406253e+06
9.822222222e-05,3.767707346e+02,2.628749822e+06
1.003333333e-04,3.712928547e+02,2.561344252e+06
1.024444444e-04,3.659540313e+02,2.496978371e+06
1.045555556e-04,3.607480546e+02,2.435458662e+06
1.066666667e-04,3.556691062e+02,2.376607466e+06
1.087777778e-04,3.507117272e+02,2.320261406e+06
1.108888889e-04,3.458707902e+02,2.266269994e+06
1.130000000e-04,3.411414727e+02,2.214494390e+06
1.151111111e-04,3.365192340e+02,2.164806310e+06
1.172222222e-04,3.319997941e+02,2.117087046e+06
1.193333333e-04,3.275791141e+02,2.071226597e+06
1.214444444e-04,3.232533791e+02,2.027122892e+06
1.235555556e-04,3.190189815e+02,1.984681090e+06
1.256666667e-04,3.148725072e+02,1.943812961e+06
1.277777778e-04,3.108107218e+02,1.904436318e+06
1.298888889e-04,3.068305583e+02,1.866474517e+06
1.320000000e-04,3.029291064e+02,1.829855996e+06
1.341111111e-04,2.991036016e+02,1.794513868e+06
1.362222222e-04,2.953514160e+02,1.760385546e+06
1.383333333e-04,2.916700498e+02,1.727412402e+06
1.404444444e-04,2.880571229e+02,1.695539468e+06
1.425555556e-04,2.845103675e+02,1.664715149e+06
1.446666667e-04,2.810276218e+02,1.634890975e+06
1.467777778e-04,2.776068229e+02,1.606021366e+06
1.488888889e-04,2.742460012e+02,1.578063424e+06
1.510000000e-04,2.709432754e+02,1.550976737e+06
1.531111111e-04,2.676968465e+02,1.524723204e+06
1.552222222e-04,2.645049942e+02,1.499266871e+06
1.573333333e-04,2.613660716e+02,1.474573787e+06
1.594444444e-04,2.582785015e+02,1.450611862e+06
1.615555556e-04,2.552407728e+02,1.427350743e+06
1.636666667e-04,2.522514366e+02,1.404761702e+06
1.657777778e-04,2.493091030e+02,1.382817525e+06
1.678888889e-04,2.464124381e+02,1.361492414e+06
1.700000000e-04,2.435601611e+02,1.340761902e+06
1.721111111e-04,2.407510414e+02,1.320602759e+06
1.742222222e-04,2.379838962e+02,1.300992923e+06
1.763333333e-04,2.352575884e+02,1.281911424e+06
1.784444444e-04,2.325710236e+02,1.263338318e+06
1.805555556e-04,2.299231489e+02,1.245254625e+06
1.826666667e-04,2.273129502e+02,1.227642273e+06
1.847777778e-04,2.247394508e+02,1.210484039e+06
1.868888889e-04,2.222017096e+02,1.193763507e+06
1.890000000e-04,2.196988191e+02,1.177465015e+06
1.911111111e-04,2.172299042e+02,1.161573617e+06
1.932222222e-04,2.147941207e+02,1.146075037e+06
1.953333333e-04,2.123906539e+02,1.130955638e+06
1.974444444e-04,2.100187170e+02,1.116202379e+06
1.995555556e-04,2.076775505e+02,1.101802790e+06
2.016666667e-04,2.053664203e+02,1.087744935e+06
2.037777778e-04,2.030846172e+02,1.074017386e+06
2.058888889e-04,2.008314555e+02,1.060609197e+06
2.080000000e-04,1.986062722e+02,1.047509875e+06
2.101111111e-04,1.964084258e+02,1.034709361e+06
2.122222222e-04,1.942372959e+02,1.022198002e+06
2.143333333e-04,1.920922817e+02,1.009966536e+06
2.164444444e-04,1.899728020e+02,9.980060664e+05
2.185555556e-04,1.878782937e+02,9.863080490e+05
2.206666667e-04,1.858082113e+02,9.748642704e+05
2.227777778e-04,1.837620267e+02,9.636668332e+05
2.248888889e-04,1.817392278e+02,9.527081405e+05
2.270000000e-04,1.797393184e+02,9.419808806e+05
2.291111111e-04,1.777618173e+02,9.314780139e+05
2.312222222e-04,1.758062581e+02,9.211927594e+05
2.333333333e-04,1.738721883e+02,9.111185824e+05
2.354444444e-04,1.719591689e+02,9.012491830e+05
2.375555556e-04,1.700667741e+02,8.915784850e+05
2.396666667e-04,1.681945907e+02,8.821006254e+05
2.417777778e-04,1.663422175e+02,8.728099446e+05
2.438888889e-04,1.645092653e+02,8.637009769e+05
2.460000000e-04,1.626953559e+02,8.547684420e+05
2.481111111e-04,1.609001224e+02,8.460072359e+05
2.502222222e-04,1.591232083e+02,8.374124238e+05
2.523333333e-04,1.573642673e+02,8.289792318e+05
2.544444444e-04,1.556229633e+02,8.207030398e+05
2.565555556e-04,1.538989694e+02,8.125793752e+05
2.586666667e-04,1.521919683e+02,8.046039057e+05
2.607777778e-04,1.505016516e+02,7.967724335e+05
2.628888889e-04,1.488277195e+02,7.890808895e+05
2.650000000e-04,1.471698810e+02,7.815253274e+05
2.671111111e-04,1.455278529e+02,7.741019186e+05
2.692222222e-04,1.439013603e+02,7.668069471e+05
2.713333333e-04,1.422901358e+02,7.596368043e+05
2.734444444e-04,1.406939195e+02,7.525879852e+05
2.755555556e-04,1.391124591e+02,7.456570831e+05
2.776666667e-04,1.375455090e+02,7.388407860e+05
2.797777778e-04,1.359928307e+02,7.321358724e+05
2.818888889e-04,1.344541925e+02,7.255392076e+05
2.840000000e-04,1.329293689e+02,7.190477396e+05
2.861111111e-04,1.314181412e+02,7.126584965e+05
2.882222222e-04,1.299202965e+02,7.063685823e+05
2.903333333e-04,1.284356281e+02,7.001751741e+05
2.924444444e-04,1.269639353e+02,6.940755192e+05
2.945555556e-04,1.255050230e+02,6.880669321e+05
2.966666667e-04,1.240587016e+02,6.821467916e+05
2.987777778e-04,1.226247872e+02,6.763125382e+05
3.008888889e-04,1.212031011e+02,6.705616719e+05
3.030000000e-04,1.197934699e+02,6.648917494e+05
3.051111111e-04,1.183957251e+02,6.593003819e+05
3.072222222e-04,1.170097035e+02,6.537852331e+05
3.093333333e-04,1.156352465e+02,6.483440169e+05
3.114444444e-04,1.142722005e+02,6.429744954e+05
3.135555556e-04,1.129204164e+02,6.376744773e+05
3.156666667e-04,1.115797498e+02,6.324418158e+05
3.177777778e-04,1.102500606e+02,6.272744068e+05
3.198888889e-04,1.089312134e+02,6.221701877e+05
3.220000000e-04,1.076230768e+02,6.171271353e+05
3.241111111e-04,1.063255238e+02,6.121432649e+05
3.262222222e-04,1.050384316e+02,6.072166285e+05
3.283333333e-04,1.037616814e+02,6.023453136e+05
3.304444444e-04,1.024951582e+02,5.975274419e+05
3.325555556e-04,1.012387514e+02,5.927611685e+05
3.346666667e-04,9.999235383e+01,5.880446802e+05
3.367777778e-04,9.875586230e+01,5.833761950e+05
3.388888889e-04,9.752917734e+01,5.787539609e+05
3.410000000e-04,9.631220313e+01,5.741762551e+05
3.431111111e-04,9.510484746e+01,5.696413832e+05
3.452222222e-04,9.390702166e+01,5.651476784e+05
3.473333333e-04,9.271864056e+01,5.606935009e+05
3.494444444e-04,9.153962242e+01,5.562772371e+05
3.515555556e-04,9.036988888e+01,5.518972994e+05
3.536666667e-04,8.920936492e+01,5.475521254e+05
3.557777778e-04,8.805797875e+01,5.432401778e+05
3.578888889e-04,8.691566185e+01,5.389599436e+05
3.600000000e-04,8.578234883e+01,5.347099343e+05
3.621111111e-04,8.465797744e+01,5.304886855e+05
3.642222222e-04,8.354248849e+01,5.262947566e+05
3.663333333e-04,8.243582580e+01,5.221267309e+05
3.684444444e-04,8.133793616e+01,5.179832155e+05
3.705555556e-04,8.024876927e+01,5.138628415e+05
3.726666667e-04,7.916827771e+01,5.097642637e+05
3.747777778e-04,7.809641686e+01,5.056861613e+05
3.768888889e-04,7.703314487e+01,5.016272377e+05
3.790000000e-04,7.597842259e+01,4.975862209e+05
3.811111111e-04,7.493221354e+01,4.935618641e+05
3.832222222e-04,7.389448386e+01,4.895529456e+05
3.853333333e-04,7.286520220e+01,4.855582698e+05
3.874444444e-04,7.184433974e+01,4.815766674e+05
3.895555556e-04,7.083187009e+01,4.776069960e+05
3.916666667e-04,6.982776926e+01,4.736481409e+05
3.937777778e-04,6.883201554e+01,4.696990155e+05
3.958888889e-04,6.784458953e+01,4.657585624e+05
3.980000000e-04,6.686547401e+01,4.618257538e+05
4.001111111e-04,6.589465390e+01,4.578995926e+05
4.022222222e-04,6.493211618e+01,4.539791131e+05
4.043333333e-04,6.397784986e+01,4.500633819e+05
4.064444444e-04,6.303184586e+01,4.461514989e+05
4.085555556e-04,6.209409698e+01,4.422425983e+05
4.106666667e-04,6.116459782e+01,4.383358496e+05
4.127777778e-04,6.024334467e+01,4.344304583e+05
4.148888889e-04,5.933033546e+01,4.305256675e+05
4.170000000e-04,5.842556971e+01,4.266207582e+05
4.191111111e-04,5.752904838e+01,4.227150511e+05
4.212222222e-04,5.664077384e+01,4.188079072e+05
4.233333333e-04,5.576074976e+01,4.148987290e+05
4.254444444e-04,5.488898103e+01,4.109869612e+05
4.275555556e-04,5.402547366e+01,4.070720923e+05
4.296666667e-04,5.317023471e+01,4.031536551e+05
4.317777778e-04,5.232327215e+01,3.992312279e+05
4.338888889e-04,5.148459482e+01,3.953044354e+05
4.360000000e-04,5.065421228e+01,3.913729493e+05
4.381111111e-04,4.983213475e+01,3.874364895e+05
4.402222222e-04,4.901837299e+01,3.834948247e+05
4.423333333e-04,4.821293818e+01,3.795477730e+05
4.444444444e-04,4.741584183e+01,3.755952027e+05
4.465555556e-04,4.662709571e+01,3.716370327e+05
4.486666667e-04,4.584671166e+01,3.676732328e+05
4.507777778e-04,4.507470156e+01,3.637038246e+05
4.528888889e-04,4.431107718e+01,3.597288812e+05
4.550000000e-04,4.355585009e+01,3.557485275e+05
4.571111111e-04,4.280903153e+01,3.517629402e+05
4.592222222e-04,4.207063231e+01,3.477723481e+05
4.613333333e-04,4.134066272e+01,3.437770311e+05
4.634444444e-04,4.061913238e+01,3.397773209e+05
4.655555556e-04,3.990605019e+01,3.357735993e+05
4.676666667e-04,3.920142415e+01,3.317662989e+05
4.697777778e-04,3.850526133e+01,3.277559012e+05
4.718888889e-04,3.781756771e+01,3.237429366e+05
4.740000000e-04,3.713834811e+01,3.197279829e+05
4.761111111e-04,3.646760608e+01,3.157116641e+05
4.782222222e-04,3.580534380e+01,3.116946495e+05
4.803333333e-04,3.515156199e+01,3.076776520e+05
4.824444444e-04,3.450625983e+01,3.036614266e+05
4.845555556e-04,3.386943486e+01,2.996467686e+05
4.866666667e-04,3.324108290e+01,2.956345120e+05
4.887777778e-04,3.262119796e+01,2.916255274e+05
4.908888889e-04,3.200977218e+01,2.876207200e+05
4.930000000e-04,3.140679576e+01,2.836210275e+05
4.951111111e-04,3.081225689e+01,2.796274177e+05
4.972222222e-04,3.022614168e+01,2.756408863e+05
4.993333333e-04,2.964843412e+01,2.716624545e+05
5.014444444e-04,2.907911600e+01,2.676931662e+05
5.035555556e-04,2.851816690e+01,2.637340857e+05
5.056666667e-04,2.796556414e+01,2.597862952e+05
5.077777778e-04,2.742128272e+01,2.558508917e+05
5.098888889e-04,2.688529532e+01,2.519289847e+05
5.120000000e-04,2.635757227e+01,2.480216931e+05
5.141111111e-04,2.583808154e+01,2.441301431e+05
5.162222222e-04,2.532678869e+01,2.402554646e+05
5.183333333e-04,2.482365691e+01,2.363987892e+05
5.204444444e-04,2.432864700e+01,2.325612473e+05
5.225555556e-04,2.384171738e+01,2.287439652e+05
5.246666667e-04,2.336282410e+01,2.249480627e+05
5.267777778e-04,2.289192085e+01,2.211746506e+05
5.288888889e-04,2.242895898e+01,2.174248280e+05
5.310000000e-04,2.197388754e+01,2.136996799e+05
5.331111111e-04,2.152665332e+01,2.100002749e+05
5.352222222e-04,2.108720086e+01,2.063276631e+05
5.373333333e-04,2.065547250e+01,2.026828736e+05
5.394444444e-04,2.023140844e+01,1.990669126e+05
5.415555556e-04,1.981494678e+01,1.954807615e+05
5.436666667e-04,1.940602357e+01,1.919253750e+05
5.457777778e-04,1.900457290e+01,1.884016791e+05
5.478888889e-04,1.861052689e+01,1.849105701e+05
5.500000000e-04,1.822381584e+01,1.814529124e+05
5.521111111e-04,1.784436824e+01,1.780295378e+05
5.542222222e-04,1.747211088e+01,1.746412436e+05
5.563333333e-04,1.710696888e+01,1.712887921e+05
5.584444444e-04,1.674886580e+01,1.679729092e+05
5.605555556e-04,1.639772371e+01,1.646942837e+05
5.626666667e-04,1.605346326e+01,1.614535665e+05
5.647777778e-04,1.571600376e+01,1.582513700e+05
5.668888889e-04,1.538526330e+01,1.550882678e+05
5.690000000e-04,1.506115875e+01,1.519647940e+05
5.711111111e-04,1.474360593e+01,1.488814432e+05
5.732222222e-04,1.443251965e+01,1.458386702e+05
5.753333333e-04,1.412781381e+01,1.428368900e+05
5.774444444e-04,1.382940145e+01,1.398764780e+05
5.795555556e-04,1.353719489e+01,1.369577698e+05
5.816666667e-04,1.325110575e+01,1.340810620e+05
5.837777778e-04,1.297104511e+01,1.312466121e+05
5.858888889e-04,1.269692350e+01,1.284546390e+05
5.880000000e-04,1.242865106e+01,1.257053236e+05
5.901111111e-04,1.216613757e+01,1.229988095e+05
5.922222222e-04,1.190929256e+01,1.203352034e+05
5.943333333e-04,1.165802535e+01,1.177145760e+05
5.964444444e-04,1.141224519e+01,1.151369627e+05
5.985555556e-04,1.117186124e+01,1.126023643e+05
6.006666667e-04,1.093678273e+01,1.101107482e+05
6.027777778e-04,1.070691899e+01,1.076620491e+05
6.048888889e-04,1.048217951e+01,1.052561699e+05
6.070000000e-04,1.026247401e+01,1.028929830e+05
6.091111111e-04,1.004771253e+01,1.005723308e+05
6.112222222e-04,9.837805476e+00,9.829402739e+04
6.133333333e-04,9.632663655e+00,9.605785919e+04
6.154444444e-04,9.432198366e+00,9.386358615e+04
6.175555556e-04,9.236321440e+00,9.171094291e+04
