# Nahfeldausschnitt, fuer alle Vorratsvarianten identisch
# |E| ist im Inneren der Fluessigkeit nicht definiert (idealer Leiter) und dort 0
r_m,z_m,phi_V,E_V_per_m,region
4.6192469e-04,-2.3000000e-04,1.3520183e+03,5.5930833e+05,reservoir_solid
4.6527197e-04,-2.3000000e-04,1.3519127e+03,5.5951768e+05,reservoir_solid
4.6861925e-04,-2.3000000e-04,1.3518072e+03,5.5972771e+05,reservoir_solid
4.7196653e-04,-2.3000000e-04,1.3517062e+03,5.5992800e+05,reservoir_solid
4.7531381e-04,-2.3000000e-04,1.3516154e+03,5.6010634e+05,reservoir_solid
4.7866109e-04,-2.3000000e-04,1.3515246e+03,5.6028518e+05,reservoir_solid
4.8200837e-04,-2.3000000e-04,1.3514337e+03,5.6046452e+05,reservoir_solid
4.8535565e-04,-2.3000000e-04,1.3513429e+03,5.6064437e+05,reservoir_solid
4.8870293e-04,-2.3000000e-04,1.3512520e+03,5.6082471e+05,reservoir_solid
4.9205021e-04,-2.3000000e-04,1.3511612e+03,5.6100555e+05,reservoir_solid
4.9539749e-04,-2.3000000e-04,1.3510703e+03,5.6118689e+05,reservoir_solid
4.9874477e-04,-2.3000000e-04,1.3509816e+03,5.6136408e+05,reservoir_solid
5.0209205e-04,-2.3000000e-04,1.3509046e+03,5.6151623e+05,reservoir_solid
5.0543933e-04,-2.3000000e-04,1.3508275e+03,5.6166874e+05,reservoir_solid
5.0878661e-04,-2.3000000e-04,1.3507505e+03,5.6182162e+05,reservoir_solid
5.1213389e-04,-2.3000000e-04,1.3506734e+03,5.6197486e+05,reservoir_solid
5.1548117e-04,-2.3000000e-04,1.3505964e+03,5.6212846e+05,reservoir_solid
5.1882845e-04,-2.3000000e-04,1.3505193e+03,5.6228243e+05,reservoir_solid
5.2217573e-04,-2.3000000e-04,1.3504423e+03,5.6243675e+05,reservoir_solid
5.2552301e-04,-2.3000000e-04,1.3503653e+03,5.6259144e+05,reservoir_solid
5.2887029e-04,-2.3000000e-04,1.3502914e+03,5.6273962e+05,reservoir_solid
5.3221757e-04,-2.3000000e-04,1.3502271e+03,5.6286702e+05,reservoir_solid
5.3556485e-04,-2.3000000e-04,1.3501629e+03,5.6299468e+05,reservoir_solid
5.3891213e-04,-2.3000000e-04,1.3500986e+03,5.6312260e+05,reservoir_solid
