# Die drei Lasten nebeneinander, ueber der normierten Bogenlaenge tau.
# kind = node   : der ROHE punktweise Knotenwert (nicht konvergent an der Kante, wird nirgends verwendet)
# kind = segment: die konservative Treppenfunktion (die Kraftbuchhaltung)
# kind = handed : die stetige Rekonstruktion, die dem Kapillarloeser TATSAECHLICH uebergeben wird
# kind = cumulative: die kumulierte Kraft G(tau), aus der 'handed' gebaut ist
case,kind,tau,d_over_a,value
singulaer,handed,2.685546875e-02,9.731445313e-01,1.007685088e+04
singulaer,handed,2.734375000e-02,9.726562500e-01,1.008011794e+04
singulaer,handed,2.783203125e-02,9.721679688e-01,1.008456568e+04
singulaer,handed,2.832031250e-02,9.716796875e-01,1.008989460e+04
singulaer,handed,2.880859375e-02,9.711914062e-01,1.009579492e+04
singulaer,handed,2.929687500e-02,9.707031250e-01,1.010198210e+04
singulaer,handed,2.978515625e-02,9.702148438e-01,1.010821864e+04
singulaer,handed,3.027343750e-02,9.697265625e-01,1.011432260e+04
singulaer,handed,3.076171875e-02,9.692382813e-01,1.012016615e+04
singulaer,handed,3.125000000e-02,9.687500000e-01,1.012566826e+04
singulaer,handed,3.173828125e-02,9.682617187e-01,1.016295174e+04
singulaer,handed,3.222656250e-02,9.677734375e-01,1.018608550e+04
singulaer,handed,3.271484375e-02,9.672851562e-01,1.020160425e+04
singulaer,handed,3.320312500e-02,9.667968750e-01,1.021252253e+04
singulaer,handed,3.369140625e-02,9.663085938e-01,1.022041716e+04
singulaer,handed,3.417968750e-02,9.658203125e-01,1.022618612e+04
singulaer,handed,3.466796875e-02,9.653320312e-01,1.023037077e+04
singulaer,handed,3.515625000e-02,9.648437500e-01,1.023330816e+04
singulaer,handed,3.564453125e-02,9.643554687e-01,1.023520876e+04
singulaer,handed,3.613281250e-02,9.638671875e-01,1.023619782e+04
singulaer,handed,3.662109375e-02,9.633789062e-01,1.023633722e+04
singulaer,handed,3.710937500e-02,9.628906250e-01,1.023563551e+04
singulaer,handed,3.759765625e-02,9.624023438e-01,1.023404923e+04
singulaer,handed,3.808593750e-02,9.619140625e-01,1.023147599e+04
singulaer,handed,3.857421875e-02,9.614257812e-01,1.022773715e+04
singulaer,handed,3.906250000e-02,9.609375000e-01,1.022254417e+04
singulaer,handed,3.955078125e-02,9.604492188e-01,1.022254417e+04
singulaer,handed,4.003906250e-02,9.599609375e-01,1.022254417e+04
singulaer,handed,4.052734375e-02,9.594726562e-01,1.022254417e+04
singulaer,handed,4.101562500e-02,9.589843750e-01,1.022254417e+04
singulaer,handed,4.150390625e-02,9.584960938e-01,1.022254417e+04
singulaer,handed,4.199218750e-02,9.580078125e-01,1.022254417e+04
singulaer,handed,4.248046875e-02,9.575195312e-01,1.022254417e+04
singulaer,handed,4.296875000e-02,9.570312500e-01,1.022254417e+04
singulaer,handed,4.345703125e-02,9.565429688e-01,1.022254417e+04
singulaer,handed,4.394531250e-02,9.560546875e-01,1.022254417e+04
singulaer,handed,4.443359375e-02,9.555664062e-01,1.022254417e+04
singulaer,handed,4.492187500e-02,9.550781250e-01,1.022254417e+04
singulaer,handed,4.541015625e-02,9.545898438e-01,1.022254417e+04
singulaer,handed,4.589843750e-02,9.541015625e-01,1.022254417e+04
singulaer,handed,4.638671875e-02,9.536132812e-01,1.022254417e+04
singulaer,handed,4.687500000e-02,9.531250000e-01,1.022254417e+04
singulaer,handed,4.736328125e-02,9.526367188e-01,1.022254417e+04
singulaer,handed,4.785156250e-02,9.521484375e-01,1.022254417e+04
singulaer,handed,4.833984375e-02,9.516601562e-01,1.022254417e+04
singulaer,handed,4.882812500e-02,9.511718750e-01,1.022254417e+04
singulaer,handed,4.931640625e-02,9.506835938e-01,1.022254417e+04
singulaer,handed,4.980468750e-02,9.501953125e-01,1.022254417e+04
singulaer,handed,5.029296875e-02,9.497070312e-01,1.022254417e+04
singulaer,handed,5.078125000e-02,9.492187500e-01,1.022254417e+04
singulaer,handed,5.126953125e-02,9.487304688e-01,1.022254417e+04
singulaer,handed,5.175781250e-02,9.482421875e-01,1.022254417e+04
singulaer,handed,5.224609375e-02,9.477539062e-01,1.022254417e+04
singulaer,handed,5.273437500e-02,9.472656250e-01,1.022254417e+04
singulaer,handed,5.322265625e-02,9.467773438e-01,1.022254417e+04
singulaer,handed,5.371093750e-02,9.462890625e-01,1.022254417e+04
singulaer,handed,5.419921875e-02,9.458007812e-01,1.022254417e+04
singulaer,handed,5.468750000e-02,9.453125000e-01,1.022254417e+04
singulaer,handed,5.517578125e-02,9.448242188e-01,1.021453110e+04
singulaer,handed,5.566406250e-02,9.443359375e-01,1.020783592e+04
singulaer,handed,5.615234375e-02,9.438476563e-01,1.020268004e+04
singulaer,handed,5.664062500e-02,9.433593750e-01,1.019924492e+04
singulaer,handed,5.712890625e-02,9.428710938e-01,1.019765690e+04
singulaer,handed,5.761718750e-02,9.423828125e-01,1.019797586e+04
singulaer,handed,5.810546875e-02,9.418945312e-01,1.020018969e+04
singulaer,handed,5.859375000e-02,9.414062500e-01,1.020421543e+04
singulaer,handed,5.908203125e-02,9.409179688e-01,1.020990689e+04
singulaer,handed,5.957031250e-02,9.404296875e-01,1.021706746e+04
singulaer,handed,6.005859375e-02,9.399414063e-01,1.022546615e+04
singulaer,handed,6.054687500e-02,9.394531250e-01,1.023485452e+04
singulaer,handed,6.103515625e-02,9.389648437e-01,1.024498250e+04
singulaer,handed,6.152343750e-02,9.384765625e-01,1.025561149e+04
