# Druckhaushalt gegen den Volumenstrom.  Q ist eine EINGABE; dieser
# Lauf berechnet ihn nicht.  Ein nicht auswertbarer Punkt steht als nan.
Q_m3_per_s,status,driving_Pa,hydrostatic_Pa,viscous_Pa,delta_p_exit_Pa,Pi,reynolds,entrance_fraction,wall_shear_Pa,mean_velocity_m_per_s
1.800000000e-13,Ok,9.040000000e+03,-0.000000000e+00,8.162585933e+03,8.774140674e+02,9.705907826e-02,7.900949002e-04,1.580189800e-06,6.802154944e+01,2.291831181e-03
1.850000000e-13,Ok,9.040000000e+03,-0.000000000e+00,8.389324431e+03,6.506755693e+02,7.197738599e-02,8.120419808e-04,1.624083962e-06,6.991103692e+01,2.355493158e-03
1.900000000e-13,Ok,9.040000000e+03,-0.000000000e+00,8.616062929e+03,4.239370712e+02,4.689569372e-02,8.339890614e-04,1.667978123e-06,7.180052441e+01,2.419155135e-03
1.950000000e-13,Ok,9.040000000e+03,-0.000000000e+00,8.842801427e+03,1.971985731e+02,2.181400145e-02,8.559361419e-04,1.711872284e-06,7.369001189e+01,2.482817112e-03
2.000000000e-13,Ok,9.040000000e+03,-0.000000000e+00,9.069539925e+03,-2.953992506e+01,-3.267690825e-03,8.778832225e-04,1.755766445e-06,7.557949938e+01,2.546479089e-03
2.050000000e-13,Ok,9.040000000e+03,-0.000000000e+00,9.296278423e+03,-2.562784232e+02,-2.834938310e-02,8.998303031e-04,1.799660606e-06,7.746898686e+01,2.610141067e-03
2.100000000e-13,Ok,9.040000000e+03,-0.000000000e+00,9.523016921e+03,-4.830169213e+02,-5.343107537e-02,9.217773836e-04,1.843554767e-06,7.935847434e+01,2.673803044e-03
2.150000000e-13,Ok,9.040000000e+03,-0.000000000e+00,9.749755419e+03,-7.097554194e+02,-7.851276764e-02,9.437244642e-04,1.887448928e-06,8.124796183e+01,2.737465021e-03
2.200000000e-13,Ok,9.040000000e+03,-0.000000000e+00,9.976493918e+03,-9.364939176e+02,-1.035944599e-01,9.656715447e-04,1.931343089e-06,8.313744931e+01,2.801126998e-03
2.250000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.020323242e+04,-1.163232416e+03,-1.286761522e-01,9.876186253e-04,1.975237251e-06,8.502693680e+01,2.864788976e-03
2.300000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.042997091e+04,-1.389970914e+03,-1.537578444e-01,1.009565706e-03,2.019131412e-06,8.691642428e+01,2.928450953e-03
2.350000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.065670941e+04,-1.616709412e+03,-1.788395367e-01,1.031512786e-03,2.063025573e-06,8.880591177e+01,2.992112930e-03
2.400000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.088344791e+04,-1.843447910e+03,-2.039212290e-01,1.053459867e-03,2.106919734e-06,9.069539925e+01,3.055774907e-03
2.450000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.111018641e+04,-2.070186408e+03,-2.290029213e-01,1.075406948e-03,2.150813895e-06,9.258488673e+01,3.119436885e-03
2.500000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.133692491e+04,-2.296924906e+03,-2.540846135e-01,1.097354028e-03,2.194708056e-06,9.447437422e+01,3.183098862e-03
2.550000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.156366340e+04,-2.523663404e+03,-2.791663058e-01,1.119301109e-03,2.238602217e-06,9.636386170e+01,3.246760839e-03
2.600000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.179040190e+04,-2.750401903e+03,-3.042479981e-01,1.141248189e-03,2.282496378e-06,9.825334919e+01,3.310422816e-03
2.650000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.201714040e+04,-2.977140401e+03,-3.293296903e-01,1.163195270e-03,2.326390540e-06,1.001428367e+02,3.374084794e-03
2.700000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.224387890e+04,-3.203878899e+03,-3.544113826e-01,1.185142350e-03,2.370284701e-06,1.020323242e+02,3.437746771e-03
2.750000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.247061740e+04,-3.430617397e+03,-3.794930749e-01,1.207089431e-03,2.414178862e-06,1.039218116e+02,3.501408748e-03
2.800000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.269735590e+04,-3.657355895e+03,-4.045747672e-01,1.229036511e-03,2.458073023e-06,1.058112991e+02,3.565070725e-03
2.850000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.292409439e+04,-3.884094393e+03,-4.296564594e-01,1.250983592e-03,2.501967184e-06,1.077007866e+02,3.628732702e-03
2.900000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.315083289e+04,-4.110832891e+03,-4.547381517e-01,1.272930673e-03,2.545861345e-06,1.095902741e+02,3.692394680e-03
2.950000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.337757139e+04,-4.337571389e+03,-4.798198440e-01,1.294877753e-03,2.589755506e-06,1.114797616e+02,3.756056657e-03
3.000000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.360430989e+04,-4.564309888e+03,-5.049015362e-01,1.316824834e-03,2.633649667e-06,1.133692491e+02,3.819718634e-03
3.050000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.383104839e+04,-4.791048386e+03,-5.299832285e-01,1.338771914e-03,2.677543829e-06,1.152587365e+02,3.883380611e-03
3.100000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.405778688e+04,-5.017786884e+03,-5.550649208e-01,1.360718995e-03,2.721437990e-06,1.171482240e+02,3.947042589e-03
3.150000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.428452538e+04,-5.244525382e+03,-5.801466130e-01,1.382666075e-03,2.765332151e-06,1.190377115e+02,4.010704566e-03
3.200000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.451126388e+04,-5.471263880e+03,-6.052283053e-01,1.404613156e-03,2.809226312e-06,1.209271990e+02,4.074366543e-03
3.250000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.473800238e+04,-5.698002378e+03,-6.303099976e-01,1.426560237e-03,2.853120473e-06,1.228166865e+02,4.138028520e-03
3.300000000e-13,Ok,9.040000000e+03,-0.000000000e+00,1.496474088e+04,-5.924740876e+03,-6.553916899e-01,1.448507317e-03,2.897014634e-06,1.247061740e+02,4.201690498e-03
