# Materialgebiet je Zelle
i,j,region
17,2,vacuum
18,2,vacuum
19,2,vacuum
20,2,vacuum
21,2,vacuum
22,2,vacuum
23,2,vacuum
24,2,vacuum
25,2,vacuum
26,2,vacuum
27,2,vacuum
28,2,vacuum
29,2,vacuum
30,2,vacuum
31,2,vacuum
32,2,vacuum
33,2,vacuum
34,2,vacuum
35,2,vacuum
36,2,vacuum
37,2,vacuum
38,2,vacuum
39,2,vacuum
40,2,vacuum
41,2,vacuum
42,2,vacuum
43,2,vacuum
44,2,vacuum
45,2,vacuum
46,2,vacuum
47,2,vacuum
48,2,vacuum
49,2,vacuum
50,2,vacuum
51,2,vacuum
52,2,vacuum
53,2,vacuum
54,2,vacuum
55,2,vacuum
56,2,vacuum
57,2,vacuum
58,2,vacuum
59,2,vacuum
60,2,vacuum
61,2,vacuum
62,2,vacuum
63,2,vacuum
64,2,vacuum
65,2,vacuum
66,2,vacuum
67,2,vacuum
68,2,vacuum
69,2,vacuum
70,2,vacuum
71,2,vacuum
72,2,vacuum
73,2,vacuum
74,2,vacuum
75,2,vacuum
76,2,vacuum
77,2,vacuum
78,2,vacuum
79,2,vacuum
80,2,vacuum
81,2,vacuum
82,2,vacuum
83,2,vacuum
84,2,vacuum
85,2,vacuum
86,2,vacuum
87,2,vacuum
88,2,vacuum
89,2,vacuum
90,2,vacuum
91,2,vacuum
92,2,vacuum
93,2,vacuum
94,2,vacuum
95,2,vacuum
96,2,vacuum
97,2,vacuum
98,2,vacuum
99,2,vacuum
100,2,vacuum
101,2,vacuum
102,2,vacuum
103,2,vacuum
104,2,vacuum
105,2,vacuum
106,2,vacuum
107,2,vacuum
108,2,vacuum
109,2,vacuum
110,2,vacuum
111,2,vacuum
112,2,vacuum
113,2,vacuum
114,2,vacuum
115,2,vacuum
116,2,vacuum
117,2,vacuum
118,2,vacuum
119,2,vacuum
120,2,vacuum
121,2,vacuum
122,2,vacuum
123,2,vacuum
124,2,vacuum
125,2,vacuum
126,2,vacuum
127,2,vacuum
128,2,vacuum
129,2,vacuum
130,2,vacuum
131,2,vacuum
132,2,vacuum
133,2,vacuum
134,2,vacuum
135,2,vacuum
136,2,vacuum
137,2,vacuum
138,2,vacuum
139,2,vacuum
140,2,vacuum
141,2,vacuum
142,2,vacuum
143,2,vacuum
144,2,vacuum
145,2,vacuum
146,2,vacuum
147,2,vacuum
148,2,vacuum
149,2,vacuum
150,2,vacuum
151,2,vacuum
152,2,vacuum
153,2,vacuum
154,2,vacuum
155,2,vacuum
156,2,vacuum
157,2,vacuum
158,2,vacuum
159,2,vacuum
160,2,vacuum
161,2,vacuum
162,2,vacuum
163,2,vacuum
164,2,vacuum
165,2,vacuum
166,2,vacuum
167,2,vacuum
168,2,vacuum
169,2,vacuum
170,2,vacuum
171,2,vacuum
172,2,vacuum
173,2,vacuum
174,2,vacuum
175,2,vacuum
176,2,vacuum
177,2,vacuum
178,2,vacuum
179,2,vacuum
180,2,vacuum
181,2,vacuum
182,2,vacuum
183,2,vacuum
184,2,vacuum
185,2,vacuum
186,2,vacuum
187,2,vacuum
188,2,vacuum
189,2,vacuum
190,2,vacuum
191,2,vacuum
192,2,vacuum
193,2,vacuum
194,2,vacuum
195,2,vacuum
196,2,vacuum
197,2,vacuum
198,2,vacuum
199,2,vacuum
200,2,vacuum
201,2,vacuum
202,2,vacuum
203,2,vacuum
204,2,vacuum
205,2,vacuum
206,2,vacuum
207,2,vacuum
208,2,vacuum
209,2,vacuum
210,2,vacuum
211,2,vacuum
212,2,vacuum
213,2,vacuum
214,2,vacuum
215,2,vacuum
216,2,vacuum
217,2,vacuum
218,2,vacuum
219,2,vacuum
220,2,vacuum
221,2,vacuum
222,2,vacuum
223,2,vacuum
224,2,vacuum
225,2,vacuum
226,2,vacuum
227,2,vacuum
228,2,vacuum
229,2,vacuum
230,2,vacuum
231,2,vacuum
232,2,vacuum
233,2,vacuum
234,2,vacuum
235,2,vacuum
236,2,vacuum
237,2,vacuum
0,3,vacuum
1,3,vacuum
2,3,vacuum
3,3,vacuum
4,3,vacuum
5,3,vacuum
6,3,vacuum
7,3,vacuum
8,3,vacuum
9,3,vacuum
10,3,vacuum
11,3,vacuum
12,3,vacuum
13,3,vacuum
14,3,vacuum
15,3,vacuum
16,3,vacuum
17,3,vacuum
18,3,vacuum
19,3,vacuum
20,3,vacuum
21,3,vacuum
22,3,vacuum
23,3,vacuum
24,3,vacuum
25,3,vacuum
26,3,vacuum
27,3,vacuum
28,3,vacuum
29,3,vacuum
30,3,vacuum
31,3,vacuum
32,3,vacuum
33,3,vacuum
34,3,vacuum
35,3,vacuum
36,3,vacuum
37,3,vacuum
38,3,vacuum
39,3,vacuum
40,3,vacuum
41,3,vacuum
42,3,vacuum
43,3,vacuum
44,3,vacuum
45,3,vacuum
46,3,vacuum
47,3,vacuum
48,3,vacuum
49,3,vacuum
50,3,vacuum
51,3,vacuum
52,3,vacuum
53,3,vacuum
54,3,vacuum
55,3,vacuum
56,3,vacuum
57,3,vacuum
58,3,vacuum
59,3,vacuum
60,3,vacuum
61,3,vacuum
62,3,vacuum
63,3,vacuum
64,3,vacuum
65,3,vacuum
66,3,vacuum
67,3,vacuum
68,3,vacuum
69,3,vacuum
70,3,vacuum
71,3,vacuum
72,3,vacuum
73,3,vacuum
74,3,vacuum
75,3,vacuum
76,3,vacuum
77,3,vacuum
78,3,vacuum
79,3,vacuum
80,3,vacuum
81,3,vacuum
82,3,vacuum
83,3,vacuum
84,3,vacuum
85,3,vacuum
86,3,vacuum
87,3,vacuum
88,3,vacuum
89,3,vacuum
90,3,vacuum
91,3,vacuum
92,3,vacuum
93,3,vacuum
94,3,vacuum
95,3,vacuum
96,3,vacuum
97,3,vacuum
98,3,vacuum
99,3,vacuum
100,3,vacuum
101,3,vacuum
102,3,vacuum
103,3,vacuum
104,3,vacuum
105,3,vacuum
106,3,vacuum
107,3,vacuum
108,3,vacuum
109,3,vacuum
110,3,vacuum
111,3,vacuum
112,3,vacuum
113,3,vacuum
114,3,vacuum
115,3,vacuum
116,3,vacuum
117,3,vacuum
118,3,vacuum
119,3,vacuum
120,3,vacuum
121,3,vacuum
122,3,vacuum
123,3,vacuum
124,3,vacuum
125,3,vacuum
126,3,vacuum
127,3,vacuum
128,3,vacuum
129,3,vacuum
130,3,vacuum
131,3,vacuum
132,3,vacuum
133,3,vacuum
134,3,vacuum
135,3,vacuum
136,3,vacuum
137,3,vacuum
138,3,vacuum
139,3,vacuum
140,3,vacuum
141,3,vacuum
142,3,vacuum
143,3,vacuum
144,3,vacuum
145,3,vacuum
146,3,vacuum
147,3,vacuum
148,3,vacuum
149,3,vacuum
150,3,vacuum
151,3,vacuum
152,3,vacuum
153,3,vacuum
154,3,vacuum
155,3,vacuum
156,3,vacuum
157,3,vacuum
158,3,vacuum
159,3,vacuum
160,3,vacuum
161,3,vacuum
162,3,vacuum
163,3,vacuum
164,3,vacuum
165,3,vacuum
166,3,vacuum
167,3,vacuum
168,3,vacuum
169,3,vacuum
170,3,vacuum
171,3,vacuum
172,3,vacuum
173,3,vacuum
174,3,vacuum
175,3,vacuum
176,3,vacuum
177,3,vacuum
178,3,vacuum
179,3,vacuum
180,3,vacuum
181,3,vacuum
182,3,vacuum
183,3,vacuum
184,3,vacuum
185,3,vacuum
186,3,vacuum
187,3,vacuum
188,3,vacuum
189,3,vacuum
190,3,vacuum
191,3,vacuum
192,3,vacuum
193,3,vacuum
194,3,vacuum
195,3,vacuum
196,3,vacuum
197,3,vacuum
198,3,vacuum
199,3,vacuum
200,3,vacuum
201,3,vacuum
202,3,vacuum
203,3,vacuum
204,3,vacuum
205,3,vacuum
206,3,vacuum
207,3,vacuum
208,3,vacuum
209,3,vacuum
210,3,vacuum
211,3,vacuum
212,3,vacuum
213,3,vacuum
214,3,vacuum
215,3,vacuum
216,3,vacuum
217,3,vacuum
218,3,vacuum
219,3,vacuum
220,3,vacuum
221,3,vacuum
222,3,vacuum
223,3,vacuum
224,3,vacuum
225,3,vacuum
226,3,vacuum
227,3,vacuum
228,3,vacuum
229,3,vacuum
230,3,vacuum
231,3,vacuum
232,3,vacuum
233,3,vacuum
234,3,vacuum
235,3,vacuum
236,3,vacuum
237,3,vacuum
0,4,vacuum
1,4,vacuum
2,4,vacuum
3,4,vacuum
4,4,vacuum
5,4,vacuum
6,4,vacuum
7,4,vacuum
8,4,vacuum
9,4,vacuum
10,4,vacuum
11,4,vacuum
12,4,vacuum
13,4,vacuum
14,4,vacuum
15,4,vacuum
16,4,vacuum
17,4,vacuum
18,4,vacuum
19,4,vacuum
20,4,vacuum
21,4,vacuum
22,4,vacuum
23,4,vacuum
24,4,vacuum
25,4,vacuum
26,4,vacuum
27,4,vacuum
28,4,vacuum
29,4,vacuum
30,4,vacuum
31,4,vacuum
32,4,vacuum
33,4,vacuum
34,4,vacuum
35,4,vacuum
36,4,vacuum
37,4,vacuum
38,4,vacuum
39,4,vacuum
40,4,vacuum
41,4,vacuum
42,4,vacuum
43,4,vacuum
44,4,vacuum
45,4,vacuum
46,4,vacuum
47,4,vacuum
48,4,vacuum
49,4,vacuum
50,4,vacuum
51,4,vacuum
52,4,vacuum
53,4,vacuum
54,4,vacuum
55,4,vacuum
56,4,vacuum
57,4,vacuum
58,4,vacuum
59,4,vacuum
60,4,vacuum
61,4,vacuum
62,4,vacuum
63,4,vacuum
64,4,vacuum
65,4,vacuum
66,4,vacuum
67,4,vacuum
68,4,vacuum
69,4,vacuum
70,4,vacuum
71,4,vacuum
72,4,vacuum
73,4,vacuum
74,4,vacuum
75,4,vacuum
76,4,vacuum
77,4,vacuum
78,4,vacuum
79,4,vacuum
80,4,vacuum
81,4,vacuum
82,4,vacuum
83,4,vacuum
84,4,vacuum
