# strukturiertes Volumennetz: Knoten (i,j) -> (r,z)
# nr=239 nz=313
i,j,r_m,z_m
82,1,3.517965823e-05,-4.836488260e-03
83,1,3.613813726e-05,-4.836488260e-03
84,1,3.718507681e-05,-4.836488260e-03
85,1,3.832780448e-05,-4.836488260e-03
86,1,3.957561045e-05,-4.836488260e-03
87,1,4.093854473e-05,-4.836488260e-03
88,1,4.242542050e-05,-4.836488260e-03
89,1,4.404956552e-05,-4.836488260e-03
90,1,4.582227382e-05,-4.836488260e-03
91,1,4.775808616e-05,-4.836488260e-03
92,1,4.987178140e-05,-4.836488260e-03
93,1,5.217920429e-05,-4.836488260e-03
94,1,5.469866297e-05,-4.836488260e-03
95,1,5.744905551e-05,-4.836488260e-03
96,1,6.045387799e-05,-4.836488260e-03
97,1,6.373271678e-05,-4.836488260e-03
98,1,6.731217269e-05,-4.836488260e-03
99,1,7.122108778e-05,-4.836488260e-03
100,1,7.548786712e-05,-4.836488260e-03
101,1,8.014712385e-05,-4.836488260e-03
102,1,8.523466155e-05,-4.836488260e-03
103,1,9.078843638e-05,-4.836488260e-03
104,1,9.685525750e-05,-4.836488260e-03
105,1,1.034758769e-04,-4.836488260e-03
106,1,1.107020219e-04,-4.836488260e-03
107,1,1.185948933e-04,-4.836488260e-03
108,1,1.271212752e-04,-4.836488260e-03
109,1,1.352404309e-04,-4.836488260e-03
110,1,1.426794381e-04,-4.836488260e-03
111,1,1.494903129e-04,-4.836488260e-03
112,1,1.557277722e-04,-4.836488260e-03
113,1,1.614435061e-04,-4.836488260e-03
114,1,1.666778448e-04,-4.836488260e-03
115,1,1.714708543e-04,-4.836488260e-03
116,1,1.758610799e-04,-4.836488260e-03
117,1,1.798823926e-04,-4.836488260e-03
118,1,1.835651336e-04,-4.836488260e-03
119,1,1.869383710e-04,-4.836488260e-03
120,1,1.900294091e-04,-4.836488260e-03
121,1,1.928581583e-04,-4.836488260e-03
122,1,1.954511466e-04,-4.836488260e-03
123,1,1.978250706e-04,-4.836488260e-03
124,1,2.000000000e-04,-4.836488260e-03
125,1,2.023073590e-04,-4.836488260e-03
126,1,2.048262778e-04,-4.836488260e-03
127,1,2.075787525e-04,-4.836488260e-03
128,1,2.105843091e-04,-4.836488260e-03
129,1,2.138679432e-04,-4.836488260e-03
130,1,2.174546697e-04,-4.836488260e-03
131,1,2.213724959e-04,-4.836488260e-03
132,1,2.256503856e-04,-4.836488260e-03
133,1,2.303242912e-04,-4.836488260e-03
134,1,2.354283816e-04,-4.836488260e-03
135,1,2.410037832e-04,-4.836488260e-03
136,1,2.470936058e-04,-4.836488260e-03
137,1,2.537446444e-04,-4.836488260e-03
138,1,2.610133227e-04,-4.836488260e-03
139,1,2.689484386e-04,-4.836488260e-03
140,1,2.776157494e-04,-4.836488260e-03
141,1,2.870851727e-04,-4.836488260e-03
142,1,2.974263273e-04,-4.836488260e-03
143,1,3.087203809e-04,-4.836488260e-03
144,1,3.210579460e-04,-4.836488260e-03
145,1,3.345353188e-04,-4.836488260e-03
146,1,3.492615949e-04,-4.836488260e-03
147,1,3.653317449e-04,-4.836488260e-03
148,1,3.828930231e-04,-4.836488260e-03
149,1,4.020809215e-04,-4.836488260e-03
150,1,4.230318110e-04,-4.836488260e-03
151,1,4.459114310e-04,-4.836488260e-03
152,1,4.709074923e-04,-4.836488260e-03
153,1,4.982272631e-04,-4.836488260e-03
154,1,5.280468223e-04,-4.836488260e-03
155,1,5.606176878e-04,-4.836488260e-03
156,1,5.961968980e-04,-4.836488260e-03
157,1,6.350512450e-04,-4.836488260e-03
158,1,6.774964929e-04,-4.836488260e-03
159,1,7.238672441e-04,-4.836488260e-03
160,1,7.745057743e-04,-4.836488260e-03
161,1,8.298365598e-04,-4.836488260e-03
162,1,8.902404685e-04,-4.836488260e-03
163,1,9.562452265e-04,-4.836488260e-03
