# application : branch_figure
# state       : emitter and extractor geometry
# voltage     : 1154.5 V (emitter minus extractor)
# note        : meniscus in this mesh is the lower one
# WARNUNG     : Prototyp, keine validierte Simulation. Siehe docs/.
i,r_a,z_a,r_b,z_b,r_mid,z_mid,len,area,nr,nz,tag,body,potential
85,2.000000000e-05,-2.002304045e-05,2.000000000e-05,-1.855875250e-05,2.000000000e-05,-1.929089647e-05,1.464287957e-06,1.840078515e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
86,2.000000000e-05,-1.855875250e-05,2.000000000e-05,-1.715058670e-05,2.000000000e-05,-1.785466960e-05,1.408165796e-06,1.769553328e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
87,2.000000000e-05,-1.715058670e-05,2.000000000e-05,-1.579639205e-05,2.000000000e-05,-1.647348938e-05,1.354194645e-06,1.701731179e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
88,2.000000000e-05,-1.579639205e-05,2.000000000e-05,-1.449409999e-05,2.000000000e-05,-1.514524602e-05,1.302292060e-06,1.636508467e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
89,2.000000000e-05,-1.449409999e-05,2.000000000e-05,-1.324172124e-05,2.000000000e-05,-1.386791061e-05,1.252378760e-06,1.573785564e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
90,2.000000000e-05,-1.324172124e-05,2.000000000e-05,-1.203734274e-05,2.000000000e-05,-1.263953199e-05,1.204378500e-06,1.513466659e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
91,2.000000000e-05,-1.203734274e-05,2.000000000e-05,-1.087912478e-05,2.000000000e-05,-1.145823376e-05,1.158217959e-06,1.455459613e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
92,2.000000000e-05,-1.087912478e-05,2.000000000e-05,-9.765298150e-06,2.000000000e-05,-1.032221146e-05,1.113826626e-06,1.399675818e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
93,2.000000000e-05,-9.765298150e-06,2.000000000e-05,-8.694161458e-06,2.000000000e-05,-9.229729804e-06,1.071136691e-06,1.346030064e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
94,2.000000000e-05,-8.694161458e-06,2.000000000e-05,-7.664078513e-06,2.000000000e-05,-8.179119986e-06,1.030082946e-06,1.294440406e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
95,2.000000000e-05,-7.664078513e-06,2.000000000e-05,-6.673475835e-06,2.000000000e-05,-7.168777174e-06,9.906026778e-07,1.244828038e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
96,2.000000000e-05,-6.673475835e-06,2.000000000e-05,-5.720840254e-06,2.000000000e-05,-6.197158045e-06,9.526355808e-07,1.197117177e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
97,2.000000000e-05,-5.720840254e-06,2.000000000e-05,-4.804716595e-06,2.000000000e-05,-5.262778425e-06,9.161236591e-07,1.151234943e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
98,2.000000000e-05,-4.804716595e-06,2.000000000e-05,-3.923705455e-06,2.000000000e-05,-4.364211025e-06,8.810111397e-07,1.107111250e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
99,2.000000000e-05,-3.923705455e-06,2.000000000e-05,-3.076461068e-06,2.000000000e-05,-3.500083262e-06,8.472443873e-07,1.064678697e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
100,2.000000000e-05,-3.076461068e-06,2.000000000e-05,-2.261689246e-06,2.000000000e-05,-2.669075157e-06,8.147718223e-07,1.023872469e-10,1.000000,-0.000000,emitter,0,1.154497914e+03
101,2.000000000e-05,-2.261689246e-06,2.000000000e-05,-1.478145404e-06,2.000000000e-05,-1.869917325e-06,7.835438422e-07,9.846302313e-11,1.000000,-0.000000,emitter,0,1.154497914e+03
102,2.000000000e-05,-1.478145404e-06,2.000000000e-05,-7.246326584e-07,2.000000000e-05,-1.101389031e-06,7.535127453e-07,9.468920420e-11,1.000000,-0.000000,emitter,0,1.154497914e+03
103,2.000000000e-05,-7.246326584e-07,2.000000000e-05,0.000000000e+00,2.000000000e-05,-3.623163292e-07,7.246326584e-07,9.106002544e-11,1.000000,-0.000000,emitter,0,1.154497914e+03
104,2.000000000e-05,0.000000000e+00,1.928571429e-05,0.000000000e+00,1.964285714e-05,0.000000000e+00,7.142857143e-07,8.815693671e-11,0.000000,1.000000,emitter,0,1.154497914e+03
105,1.928571429e-05,0.000000000e+00,1.857142857e-05,0.000000000e+00,1.892857143e-05,0.000000000e+00,7.142857143e-07,8.495122992e-11,0.000000,1.000000,emitter,0,1.154497914e+03
106,1.857142857e-05,0.000000000e+00,1.785714286e-05,0.000000000e+00,1.821428571e-05,0.000000000e+00,7.142857143e-07,8.174552313e-11,0.000000,1.000000,emitter,0,1.154497914e+03
107,1.785714286e-05,0.000000000e+00,1.714285714e-05,0.000000000e+00,1.750000000e-05,0.000000000e+00,7.142857143e-07,7.853981634e-11,0.000000,1.000000,emitter,0,1.154497914e+03
